"feature_type","osm_id","label","name","operator","source_geometry","longitude","latitude"
"park",NA,"Nelson Meade County Farm Park","Nelson Meade County Farm Park",NA,"polygon",-83.7053675213069,42.25512745
"park",NA,"Equality Park (private)","Equality Park (private)",NA,"polygon",-83.2362857244368,42.42939595
"park",NA,NA,NA,NA,"polygon",-83.2075729393337,42.04357415
"park",NA,"Elizabeth Park","Elizabeth Park",NA,"polygon",-83.1803651339731,42.1325736
"park",NA,"Karam Park","Karam Park",NA,"polygon",-83.0949020248221,42.47385555
"park",NA,"Statue Park","Statue Park",NA,"polygon",-83.1618679399074,42.4838411
"park",NA,"Gordon L. Hassig Senior Park","Gordon L. Hassig Senior Park",NA,"polygon",-83.1738186941873,42.48840255
"park",NA,"11 Mile-Huntington Park","11 Mile-Huntington Park",NA,"polygon",-83.1601481308512,42.48918885
"park",NA,"Reynolds Park","Reynolds Park",NA,"polygon",-83.1661105963542,42.48901505
"park",NA,"Gallup Park","Gallup Park",NA,"polygon",-83.6975072327436,42.2763623
"park",NA,"Angell Park","Angell Park",NA,"polygon",-83.1987322421735,42.49918625
"park",NA,"Merchants Park","Merchants Park",NA,"polygon",-83.1967370882643,42.49199675
"park",NA,"Kiwanis Tot Lot","Kiwanis Tot Lot",NA,"polygon",-83.1698958306681,42.49109355
"park",NA,"Peasley Park","Peasley Park",NA,"polygon",-83.1823701800395,42.4774167
"park",NA,"Memorial Park","Memorial Park",NA,"polygon",-83.3772832054628,42.4654836
"park",NA,"Women's Park","Women's Park",NA,"polygon",-83.3797179372876,42.4661699
"park",NA,"Drake Park","Drake Park",NA,"polygon",-83.3946740246363,42.4627708
"park",NA,"Riley Park","Riley Park",NA,"polygon",-83.3739323673932,42.46338205
"park",NA,"Shiawassee Park","Shiawassee Park",NA,"polygon",-83.3678755209391,42.4638213
"park",NA,"Leslie Science & Nature Center","Leslie Science & Nature Center",NA,"polygon",-83.7303546861786,42.30030255
"park",NA,"Flanders Park","Flanders Park",NA,"polygon",-83.3687249449103,42.44673935
"park",NA,"Founders Sports Park","Founders Sports Park",NA,"polygon",-83.3996979621237,42.44283665
"park",NA,"Rotary Park","Rotary Park",NA,"polygon",-83.3616565683027,42.4143427
"park",NA,NA,NA,NA,"polygon",-83.3779036955413,42.47368965
"park",NA,"Windemere Park","Windemere Park",NA,"polygon",-83.6870613014159,42.29011385
"park",NA,"Maybee Park","Maybee Park",NA,"polygon",-83.5102128913809,42.00940415
"park",NA,NA,NA,NA,"polygon",-83.1836680167677,42.5127426
"park",NA,"Civic Center Park","Civic Center Park",NA,"polygon",-83.369642495949,42.3943561
"park",NA,"Raintree Park","Raintree Park",NA,"polygon",-83.1133845878478,42.5734047
"park",NA,"Gateway Park","Gateway Park",NA,"polygon",-83.1279096192721,42.5637293
"park",NA,"Parkview Park","Parkview Park",NA,"polygon",-83.3280437951924,42.4196515
"park",NA,"Bicentennial Park","Bicentennial Park",NA,"polygon",-83.3933522627723,42.4288847
"park",NA,"Lafayette Greens","Lafayette Greens",NA,"polygon",-83.0492766805782,42.3313572
"park",NA,"Rosie's Park","Rosie's Park",NA,"polygon",-83.0940865623841,42.49525885
"park",NA,"Robert H. Long Nature Park","Robert H. Long Nature Park",NA,"polygon",-83.4526200000092,42.53037035
"park",NA,"Bloomer Park","Bloomer Park",NA,"polygon",-83.4303794646935,42.5757912
"park",NA,"Maxwell Park","Maxwell Park",NA,"polygon",-83.1535201203456,42.4957167
"park",NA,"Frank Wendland Park","Frank Wendland Park",NA,"polygon",-83.1411582492866,42.47729635
"park",NA,"Jaycee Park","Jaycee Park",NA,"polygon",-83.3695017718587,42.43003775
"park",NA,"Ford Field","Ford Field",NA,"polygon",-83.3757012056078,42.3887755
"park",NA,"Livonia Public Schools","Livonia Public Schools",NA,"polygon",-83.3601103389008,42.3953938
"park",NA,"Bluegrass Park","Bluegrass Park",NA,"polygon",-83.4238893178634,42.4041704
"park",NA,"Quakertown Park","Quakertown Park",NA,"polygon",-83.4274002848522,42.40427425
"park",NA,"Jaycee Park","Jaycee Park",NA,"polygon",-83.3741126959236,42.4317347
"park",NA,"Laurel South Park","Laurel South Park",NA,"polygon",-83.4180933837355,42.4028319
"park",NA,"Greenwood Park","Greenwood Park",NA,"polygon",-83.4191105594507,42.39990105
"park",NA,"Quakertown Park","Quakertown Park",NA,"polygon",-83.4317561737097,42.4056678
"park",NA,"Quakertown Park","Quakertown Park",NA,"polygon",-83.4298262994226,42.4049504
"park",NA,"Ford Field","Ford Field",NA,"polygon",-83.245785163778,42.3104561
"park",NA,"Lyon Oaks County Park","Lyon Oaks County Park",NA,"polygon",-83.5614313963946,42.5135586
"park",NA,"Pioneer Park","Pioneer Park","City of Farmington Hills","polygon",-83.3824391968322,42.51550365
"park",NA,"Pastor Park","Pastor Park",NA,"polygon",-83.3619382087992,42.3895648
"park",NA,"Olde Town Park","Olde Town Park",NA,"polygon",-83.3284949236344,42.44819275
"park",NA,"Sheffler Park","Sheffler Park",NA,"polygon",-83.6990005968394,42.25190685
"park",NA,NA,NA,NA,"polygon",-83.3611574740694,42.5006566
"park",NA,"Boulan Park","Boulan Park",NA,"polygon",-83.1731846930043,42.5722476
"park",NA,"Ella Mae Power Park","Ella Mae Power Park",NA,"polygon",-83.4862665639322,42.4626417
"park",NA,"Fuerst Park","Fuerst Park",NA,"polygon",-83.4932056967781,42.46495475
"park",NA,"Orchard Hills Park","Orchard Hills Park",NA,"polygon",-83.4591062785509,42.4607384
"park",NA,"Village Wood Lake Park","Village Wood Lake Park",NA,"polygon",-83.4534495597238,42.45859615
"park",NA,"Brookfarm Park","Brookfarm Park",NA,"polygon",-83.4478025962425,42.4621313
"park",NA,"Pavilion Shore Park","Pavilion Shore Park","City of Novi","polygon",-83.4764236908029,42.51100225
"park",NA,"Wildlife Woods Park","Wildlife Woods Park",NA,"polygon",-83.5278142952206,42.48194775
"park",NA,"Ten Mile South Undeveloped Park","Ten Mile South Undeveloped Park",NA,"polygon",-83.5315511027749,42.4595035
"park",NA,"Villa Barr Art Park","Villa Barr Art Park",NA,"polygon",-83.551838613181,42.45195025
"park",NA,"ITC Community Sports Park","ITC Community Sports Park",NA,"polygon",-83.5496407175042,42.4388336
"park",NA,"Civic Center Park","Civic Center Park",NA,"polygon",-83.2360269047181,42.4827003
"park",NA,NA,NA,NA,"polygon",-83.0649511669339,42.34755285
"park",NA,"The Wave Field","The Wave Field",NA,"polygon",-83.7116355881517,42.29317875
"park",NA,"Manning Park","Manning Park",NA,"polygon",-83.291614329951,42.380867
"park",NA,"Levagood Park","Levagood Park",NA,"polygon",-83.27928075,42.31776425
"park",NA,"Drake Sports Park","Drake Sports Park",NA,"polygon",-83.3972757363089,42.5370566
"park",NA,"Weiss Playground","Weiss Playground",NA,"polygon",-83.1360533487242,42.3052234
"park",NA,NA,NA,NA,"polygon",-83.2350064930279,42.2975251
"park",NA,"Memorial Park","Memorial Park",NA,"polygon",-82.8726124695748,42.5268767
"park",NA,"Water Park","Water Park",NA,"polygon",-82.885255147228,42.49602515
"park",NA,"Lillie Park","Lillie Park",NA,"polygon",-83.6944158133212,42.22652715
"park",NA,"Blossom Heath Park","Blossom Heath Park",NA,"polygon",-82.8828125677765,42.47383815
"park",NA,"Phoenix Park","Phoenix Park",NA,"polygon",-83.2828086060698,42.39147135
"park",NA,"Kraft Park","Kraft Park",NA,"polygon",-83.3050284593211,42.43080055
"park",NA,"Cobb Memorial Park","Cobb Memorial Park",NA,"polygon",-83.1917666900513,42.20628165
"park",NA,"Ray Torres Lions Park","Ray Torres Lions Park",NA,"polygon",-83.2112226140674,42.20712815
"park",NA,"Greenmead Historical Park","Greenmead Historical Park",NA,"polygon",-83.4180796930649,42.4365739
"park",NA,"Bond Park","Bond Park",NA,"polygon",-83.3632786065095,42.5146301
"park",NA,"Timbercrest Community Park","Timbercrest Community Park",NA,"polygon",-83.3359215635939,42.49600875
"park",NA,"Gunnar Mettala Park","Gunnar Mettala Park",NA,"polygon",-83.5216911833535,42.53181635
"park",NA,"Gilbert Willis Memorial Park","Gilbert Willis Memorial Park",NA,"polygon",-83.5257297886334,42.5561529
"park",NA,"Sibley Square Park","Sibley Square Park",NA,"polygon",-83.5321051546973,42.52487805
"park",NA,"Mack Park","Mack Park",NA,"polygon",-83.536357798147,42.5248438
"park",NA,"Wixom Civic Center Park","Wixom Civic Center Park",NA,"polygon",-83.5311938428437,42.5223728
"park",NA,"Four Seasons Park","Four Seasons Park",NA,"polygon",-83.328081412477,42.48480465
"park",NA,"Pebble Creek Park","Pebble Creek Park",NA,"polygon",-83.3099969293164,42.4888851
"park",NA,"Burgh Historical Park","Burgh Historical Park",NA,"polygon",-83.277945914445,42.47998115
"park",NA,"Lahser Woods Park","Lahser Woods Park",NA,"polygon",-83.2653441337066,42.48978205
"park",NA,"Inglenook Park","Inglenook Park",NA,"polygon",-83.2519591906084,42.4995847
"park",NA,"Brace Park","Brace Park",NA,"polygon",-83.2410591941556,42.44994525
"park",NA,"John Grace Park & Recreation Center","John Grace Park & Recreation Center",NA,"polygon",-83.3113458028667,42.4450935
"park",NA,"Seminole Street Parklet","Seminole Street Parklet",NA,"polygon",-83.31559625,42.4503981
"park",NA,"Stratford Woods Commons","Stratford Woods Commons",NA,"polygon",-83.2125572785912,42.4699507
"park",NA,"Mary Thompson Farm","Mary Thompson Farm",NA,"polygon",-83.2385417478145,42.47751955
"park",NA,"Millenium Park","Millenium Park",NA,"polygon",-83.4933979241792,42.40781765
"park",NA,"Bedford Woods","Bedford Woods",NA,"polygon",-83.2172127119326,42.5085891
"park",NA,"Code House","Code House",NA,"polygon",-83.2671467445338,42.47852205
"park",NA,"John R Miller Park","John R Miller Park",NA,"polygon",-83.22687831137,42.5087455
"park",NA,"Troy TDM Manufacturing Soccer Fields and Exercise Paths","Troy TDM Manufacturing Soccer Fields and Exercise Paths",NA,"polygon",-83.4866866878824,42.3843701
"park",NA,"Simms Park","Simms Park",NA,"polygon",-83.2126308383914,42.498699
"park",NA,"Freeway Park","Freeway Park",NA,"polygon",-83.2065436625864,42.47909085
"park",NA,"Memorial Park","Memorial Park",NA,"polygon",-83.3390543850346,42.48451405
"park",NA,"Le Mans Park","Le Mans Park",NA,"polygon",-83.3465742170197,42.47722355
"park",NA,"Beech Woods Park","Beech Woods Park",NA,"polygon",-83.2971735627229,42.454344
"park",NA,"Community Park","Community Park",NA,"polygon",-83.0750991065711,42.3336122
"park",NA,"Northville Community Park","Northville Community Park",NA,"polygon",-83.5181911548143,42.3971496
"park",NA,"Intersection Park","Intersection Park","City of Detroit","polygon",-83.0767095092067,42.34021485
"park",NA,"Earhart Park","Earhart Park",NA,"polygon",-83.683441141921,42.28463705
"park",NA,"Earhart West Park","Earhart West Park",NA,"polygon",-83.6887809713431,42.28557875
"park",NA,"Glacier Highlands Park","Glacier Highlands Park",NA,"polygon",-83.6899205806637,42.29280565
"park",NA,"Bicentennial Park","Bicentennial Park","City of Ann Arbor","polygon",-83.7029402389766,42.2324714
"park",NA,"Marsh View Meadows","Marsh View Meadows",NA,"polygon",-83.7204357374856,42.197198
"park",NA,"Olson Park","Olson Park","City of Ann Arbor","polygon",-83.7312111605314,42.3190272
"park",NA,"Teifer Park","Teifer Park","City of Trenton","polygon",-83.1878400252758,42.13931015
"park",NA,"Tefend Park","Tefend Park","City of Trenton","polygon",-83.2068949688512,42.12364455
"park",NA,"Lions Park","Lions Park","City of Trenton","polygon",-83.1970197814234,42.11814545
"park",NA,"Lathrop Park","Lathrop Park","City of Trenton","polygon",-83.1986291375076,42.12356845
"park",NA,"Affholter Park","Affholter Park","City of Trenton","polygon",-83.2134217378609,42.1445096
"park",NA,"MacArthur Park","MacArthur Park","City of Trenton","polygon",-83.2093940475427,42.14205985
"park",NA,"Gordon Park","Gordon Park",NA,"polygon",-83.1003403750533,42.3767787
"park",NA,"Brookside Park","Brookside Park","City of Ann Arbor","polygon",-83.7193209323171,42.24312175
"park",NA,"Hunt Playground","Hunt Playground",NA,"polygon",-83.1082226385054,42.4422513
"park",NA,"Coventry Park","Coventry Park",NA,"polygon",-83.1016036161288,42.4336296
"park",NA,"Wanda Park","Wanda Park",NA,"polygon",-83.1123129321323,42.4545238
"park",NA,"Mulford Park","Mulford Park",NA,"polygon",-83.0946799549329,42.3985616
"park",NA,"Tolan Park","Tolan Park",NA,"polygon",-83.0504003795594,42.3517927
"park",NA,"Circle Park","Circle Park","DTE","polygon",-83.0561394355387,42.33343725
"park",NA,"Connor Playfield","Connor Playfield",NA,"polygon",-82.9927365329507,42.39960235
"park",NA,"Eda U. Gerstacker Grove","Eda U. Gerstacker Grove",NA,"polygon",-83.7157561227467,42.2920874
"park",NA,"South McLouth Park","South McLouth Park","City of Trenton","polygon",-83.2064118058902,42.144661
"park",NA,"Tucker Park","Tucker Park",NA,"polygon",-82.8487755981212,42.56393455
"park",NA,NA,NA,NA,"polygon",-83.5109947186942,42.21500765
"park",NA,"Greenbriar Park","Greenbriar Park",NA,"polygon",-83.3912824669655,42.39259765
"park",NA,"Stymelski Veteran's Park","Stymelski Veteran's Park",NA,"polygon",-83.3805762009852,42.3880821
"park",NA,"Independence Park","Independence Park",NA,"polygon",-83.5279813557144,42.2913617
"park",NA,"Poppleton Park","Poppleton Park",NA,"polygon",-83.2133240052224,42.55191435
"park",NA,"Quirk Park","Quirk Park",NA,"polygon",-83.4936962810112,42.23061
"park",NA,"Robert C. McCann Park","Robert C. McCann Park",NA,"polygon",-83.4063450842785,42.4042329
"park",NA,"Heritage Park","Heritage Park",NA,"polygon",-83.2489471992422,42.21680305
"park",NA,NA,NA,NA,"polygon",-83.3438214943166,42.362552
"park",NA,"Moelke Park","Moelke Park",NA,"polygon",-83.3243593193423,42.4334324
"park",NA,"Stonewood Park","Stonewood Park",NA,"polygon",-83.425727487822,42.5161792
"park",NA,"Lion's Club Park","Lion's Club Park",NA,"polygon",-83.4652062509085,42.3639837
"park",NA,"Clinton Park","Clinton Park",NA,"polygon",-83.7207865322507,42.24006405
"park",NA,"Crowley Park","Crowley Park",NA,"polygon",-83.282230319617,42.2927937
"park",NA,"Hearthstone Park","Hearthstone Park",NA,"polygon",-83.3272252771639,42.4386713
"park",NA,"Hillcrest Park","Hillcrest Park",NA,"polygon",-83.3518043990785,42.43234325
"park",NA,"Broadmoor Park","Broadmoor Park",NA,"polygon",-83.3302988911331,42.40328465
"park",NA,"Meadows Park","Meadows Park",NA,"polygon",-83.3180217614675,42.4189232
"park",NA,NA,NA,NA,"polygon",-82.9320606751956,42.37218495
"park",NA,"Beverly Park","Beverly Park",NA,"polygon",-83.3481032808677,42.4202295
"park",NA,NA,NA,NA,"polygon",-83.371582312755,42.4632584
"park",NA,"Nash Park","Nash Park",NA,"polygon",-83.3427485863374,42.39344615
"park",NA,"Jaycee Park & Copeland Center","Jaycee Park & Copeland Center","City of Wyandotte","polygon",-83.1561458681683,42.210358
"park",NA,"Fairview Early Childhood Center (razed)","Fairview Early Childhood Center (razed)",NA,"polygon",-83.3308924157808,42.52420465
"park",NA,"Fairground Park","Fairground Park",NA,"polygon",-83.4652686988659,42.3672109
"park",NA,"Dorothy Warren Park","Dorothy Warren Park",NA,"polygon",-83.2360960681189,42.49142965
"park",NA,"Golden Gate Park","Golden Gate Park",NA,"polygon",-83.2293489451966,42.48695895
"park",NA,"Anne Lathrup Park","Anne Lathrup Park",NA,"polygon",-83.2204417526956,42.49334305
"park",NA,"Municipal Park","Municipal Park",NA,"polygon",-83.2205276477426,42.49167555
"park",NA,"Sarrackwood Park","Sarrackwood Park",NA,"polygon",-83.2354735353403,42.494429
"park",NA,"King Memorial Park","King Memorial Park",NA,"polygon",-83.336340137258,42.2804406
"park",NA,"Mt. Elliot Park","Mt. Elliot Park",NA,"polygon",-83.0069284350244,42.3411098
"park",NA,"Jaycee Park","Jaycee Park",NA,"polygon",-83.3772889980701,42.3309901
"park",NA,"David Oppenheim Memorial Park","David Oppenheim Memorial Park",NA,"polygon",-83.1332987453697,42.45211865
"park",NA,"Shelden Park","Shelden Park",NA,"polygon",-83.3692816011559,42.3655054
"park",NA,"Central Park","Central Park",NA,"polygon",-83.2944040256442,42.32393735
"park",NA,"Snowy Ridge Park","Snowy Ridge Park",NA,"polygon",-83.4585453538733,42.53471365
"park",NA,"Shelden Pool","Shelden Pool",NA,"polygon",-83.3681845236794,42.36652155
"park",NA,"Helen Park","Helen Park",NA,"polygon",-83.3171201035713,42.32850825
"park",NA,"Tennis Courts","Tennis Courts",NA,"polygon",-83.4168340010061,42.3954806
"park",NA,"Simanek Playfield","Simanek Playfield",NA,"polygon",-83.2142966318511,42.34631725
"park",NA,NA,NA,NA,"polygon",-83.3549283660941,42.33182465
"park",NA,"Arcola Park","Arcola Park",NA,"polygon",-83.3139806842169,42.33986255
"park",NA,"Florence Park","Florence Park",NA,"polygon",-83.3284955048819,42.31408685
"park",NA,"Kiwanis Park","Kiwanis Park",NA,"polygon",-83.3421700265833,42.33208795
"park",NA,"Manor Park","Manor Park",NA,"polygon",-83.36165585,42.3302705
"park",NA,"Rotary Park","Rotary Park",NA,"polygon",-83.3609838451926,42.3169841
"park",NA,"community park (by CDC)","community park (by CDC)",NA,"polygon",-83.0857214817957,42.3780533
"park",NA,"McDuffy Park","McDuffy Park",NA,"polygon",-83.0849823375318,42.37512655
"park",NA,"Dooley Park","Dooley Park",NA,"polygon",-82.9550789138152,42.52083845
"park",NA,"Harrison Township Waterfront Park","Harrison Township Waterfront Park",NA,"polygon",-82.8525218780715,42.5486878
"park",NA,"Normandy Park","Normandy Park",NA,"polygon",-82.9078687205677,42.54957845
"park",NA,"Margareta Park","Margareta Park",NA,"polygon",-83.2569098615024,42.4260314
"park",NA,"Marx Playground","Marx Playground",NA,"polygon",-83.2251691914495,42.4239064
"park",NA,NA,NA,NA,"polygon",-82.9284377245683,42.5224563
"park",NA,"Beverly Park","Beverly Park",NA,"polygon",-83.2310477494113,42.52321185
"park",NA,"American Legion Edward C. Headman Post 217 Park","American Legion Edward C. Headman Post 217 Park",NA,"polygon",-83.175932544968,42.20666715
"park",NA,"Karner Farm","Karner Farm",NA,"polygon",-83.418333985742,42.5504807
"park",NA,"Cody Park","Cody Park",NA,"polygon",-83.1351462249219,42.50408295
"park",NA,"Market Center Park","Market Center Park",NA,"polygon",-83.1891503124533,42.19691945
"park",NA,"Fernwood Park","Fernwood Park",NA,"polygon",-83.1579984064148,42.49389515
"park",NA,"Sam A. Palamara Recreation Complex - Memorial Park","Sam A. Palamara Recreation Complex - Memorial Park",NA,"polygon",-83.1769302348661,42.18777755
"park",NA,"V.F.W. Park","V.F.W. Park","City of Wyandotte","polygon",-83.1675865532489,42.1954226
"park",NA,"Wyandotte Lions Club Park","Wyandotte Lions Club Park",NA,"polygon",-83.163344012003,42.20716135
"park",NA,"Polish American Citizens Club Park","Polish American Citizens Club Park","City of Wyandotte","polygon",-83.1578673499819,42.21749175
"park",NA,"Wyandotte Athletic Association Park","Wyandotte Athletic Association Park","City of Wyandotte","polygon",-83.1534785854176,42.23146885
"park",NA,"Exchange Club Playfield","Exchange Club Playfield","City of Wyandotte","polygon",-83.1520134390961,42.22056455
"park",NA,"Kiwanis Club Park","Kiwanis Club Park","City of Wyandotte","polygon",-83.1596388,42.23386515
"park",NA,"Knights of Columbus 1802 Tot Lot","Knights of Columbus 1802 Tot Lot","City of Wyandotte","polygon",-83.154813650499,42.21624175
"park",NA,"Rotary Park","Rotary Park",NA,"polygon",-83.1533906491873,42.2023557
"park",NA,"Frenchtown Kiwani's Park","Frenchtown Kiwani's Park",NA,"polygon",-83.3234306224612,41.95146635
"park",NA,"William Grace Dog Park","William Grace Dog Park",NA,"polygon",-83.3311905069973,42.454335
"park",NA,"Wilson Park","Wilson Park",NA,"polygon",-83.6810252023337,42.08127525
"park",NA,"Shain Park","Shain Park",NA,"polygon",-83.2166050717782,42.5452353
"park",NA,"Martha Baldwin Park","Martha Baldwin Park",NA,"polygon",-83.2210036611296,42.54572205
"park",NA,"Perrien Park","Perrien Park",NA,"polygon",-83.0394136628034,42.3655457
"park",NA,"Rosalie-Hubbard Park","Rosalie-Hubbard Park",NA,"polygon",-83.1990519754605,42.3223352
"park",NA,"Samuel J. Corrado Park","Samuel J. Corrado Park",NA,"polygon",-83.3428940721751,42.35280355
"park",NA,"Devon-Aire Woods Park","Devon-Aire Woods Park",NA,"polygon",-83.3461162243379,42.36264975
"park",NA,"Kleinert Play Field","Kleinert Play Field",NA,"polygon",-83.3624463233064,42.3630057
"park",NA,"Bien Park","Bien Park",NA,"polygon",-83.4308516129361,42.39221215
"park",NA,"Castle Gardens Park","Castle Gardens Park",NA,"polygon",-83.4244384686192,42.3893187
"park",NA,"Country Homes Park","Country Homes Park",NA,"polygon",-83.3925242253177,42.3630636
"park",NA,"Dover Park","Dover Park",NA,"polygon",-83.4270164453347,42.354635
"park",NA,"Grennada Park","Grennada Park",NA,"polygon",-83.4276556966816,42.38521075
"park",NA,"Linden Woods Park","Linden Woods Park",NA,"polygon",-83.4056293520541,42.35606025
"park",NA,"Mies Park","Mies Park",NA,"polygon",-83.3619090316487,42.35948925
"park",NA,"Prides Court Park","Prides Court Park",NA,"polygon",-83.4232179964529,42.42059105
"park",NA,"Clements Circle Park","Clements Circle Park",NA,"polygon",-83.3243851952944,42.36510885
"park",NA,"Clements Circle Pool","Clements Circle Pool",NA,"polygon",-83.32455549751,42.36422725
"park",NA,"Elliott Tot Park","Elliott Tot Park",NA,"polygon",-83.3274744694593,42.36552295
"park",NA,"Elm Park","Elm Park",NA,"polygon",-83.3182353748954,42.37408175
"park",NA,"Sesquicentennial Park","Sesquicentennial Park",NA,"polygon",-83.3141263490307,42.3694931
"park",NA,"Wiilson Barn Park","Wiilson Barn Park",NA,"polygon",-83.3321016643029,42.364154
"park",NA,"Bai-Lynn Play Field","Bai-Lynn Play Field",NA,"polygon",-83.3524382363582,42.3898023
"park",NA,"Compton Park","Compton Park",NA,"polygon",-83.3272082898253,42.3917997
"park",NA,"Country Homes Estate Park","Country Homes Estate Park",NA,"polygon",-83.3955847350085,42.41329025
"park",NA,"Dooley Park","Dooley Park",NA,"polygon",-83.3232114226772,42.38853415
"park",NA,"Gaylord Tot Lot","Gaylord Tot Lot",NA,"polygon",-83.3376096171479,42.3850706
"park",NA,"Harry Wolf Tot Lot","Harry Wolf Tot Lot",NA,"polygon",-83.3572533241549,42.3955574
"park",NA,"North Wayne-Six Park","North Wayne-Six Park",NA,"polygon",-83.3922096,42.41180405
"park",NA,"Nottingham West Park","Nottingham West Park",NA,"polygon",-83.3963866320168,42.4157168
"park",NA,"Veteran's Memorial Plaza","Veteran's Memorial Plaza",NA,"polygon",-83.3731891754607,42.39756455
"park",NA,"Wayne-Six Park","Wayne-Six Park",NA,"polygon",-83.3928135393497,42.4090129
"park",NA,NA,NA,NA,"polygon",-83.3195938254718,42.35871405
"park",NA,"Fairway Park","Fairway Park",NA,"polygon",-83.4006734585855,42.4040566
"park",NA,"Larry Nehasil Park","Larry Nehasil Park",NA,"polygon",-83.371663275839,42.39662105
"park",NA,"Rosemont-Acacia Park","Rosemont-Acacia Park",NA,"polygon",-83.2191085286079,42.3917645
"park",NA,NA,NA,NA,"polygon",-83.1451922212687,42.51881385
"park",NA,"Hull School (razed)","Hull School (razed)",NA,"polygon",-83.3867673556056,42.3888625
"park",NA,"Doan Playground","Doan Playground",NA,"polygon",-83.1963141729557,42.36945
"park",NA,"Hope Playground","Hope Playground",NA,"polygon",-83.2558888439252,42.40851815
"park",NA,"O'Shea Playground","O'Shea Playground",NA,"polygon",-83.2004645728625,42.3778701
"park",NA,"Reid Park","Reid Park",NA,"polygon",-83.2443909105024,42.41941805
"park",NA,"Riordan Playground","Riordan Playground",NA,"polygon",-83.262667325476,42.4065595
"park",NA,"Tuttle Playground","Tuttle Playground",NA,"polygon",-83.2434947,42.43931555
"park",NA,"Votrobeck Playground","Votrobeck Playground",NA,"polygon",-83.2430083422927,42.4325662
"park",NA,"Arthur Playground","Arthur Playground",NA,"polygon",-83.2170623777585,42.4272867
"park",NA,"Gorham Playground","Gorham Playground",NA,"polygon",-83.208211204073,42.4386813
"park",NA,"Varrier Playground","Varrier Playground",NA,"polygon",-83.2024794918227,42.4202577
"park",NA,"Fitzpatrick Park","Fitzpatrick Park",NA,"polygon",-83.2229067675225,42.36741515
"park",NA,"Cook Playground","Cook Playground",NA,"polygon",-83.204867878325,42.4010427
"park",NA,"David P Kelley Jr Playground","David P Kelley Jr Playground",NA,"polygon",-83.2145523472585,42.4078497
"park",NA,"Geary Park","Geary Park",NA,"polygon",-83.1503668023243,42.46288185
"park",NA,"Adams Butzel Recreation Complex","Adams Butzel Recreation Complex",NA,"polygon",-83.1666623504437,42.3970852
"park",NA,"Anthony Park","Anthony Park",NA,"polygon",-83.1828007862369,42.3480332
"park",NA,"Mallett Park","Mallett Park",NA,"polygon",-83.1872314271917,42.37555905
"park",NA,"Sawyer Playground","Sawyer Playground",NA,"polygon",-83.1824680511783,42.39511345
"park",NA,"Hyde Park","Hyde Park",NA,"polygon",-83.1404887385561,42.4404967
"park",NA,"Sherwood Park","Sherwood Park",NA,"polygon",-83.1402821243396,42.43735775
"park",NA,"Russell Woods Park","Russell Woods Park",NA,"polygon",-83.1372580990761,42.38214925
"park",NA,"Zussman Playground","Zussman Playground",NA,"polygon",-83.1323132195322,42.38875585
"park",NA,"Geer Park","Geer Park",NA,"polygon",-83.1867988253551,42.3143358
"park",NA,"Joseph Walker Williams Park","Joseph Walker Williams Park",NA,"polygon",-83.0976698986112,42.37048445
"park",NA,"LaSalle Park","LaSalle Park",NA,"polygon",-83.0999606851736,42.36564985
"park",NA,"Nardin Park","Nardin Park",NA,"polygon",-83.1326628158204,42.36756435
"park",NA,"North Rosedale Park Community House & Grounds","North Rosedale Park Community House & Grounds",NA,"polygon",-83.2237391291717,42.40649445
"park",NA,"Edward G. Heckel Park","Edward G. Heckel Park",NA,"polygon",-83.2794527027762,42.41808405
"park",NA,"Grayfield-Glenhurst Park","Grayfield-Glenhurst Park",NA,"polygon",-83.2697797605422,42.42814425
"park",NA,"Markulis Playground","Markulis Playground",NA,"polygon",-83.27399480351,42.4280004
"park",NA,"Midland-Bentler Playground","Midland-Bentler Playground",NA,"polygon",-83.2516402098268,42.4032179
"park",NA,"Optimist-Stout Playground","Optimist-Stout Playground",NA,"polygon",-83.2410757452118,42.38756355
"park",NA,"Outer Drive-Burgess Park","Outer Drive-Burgess Park",NA,"polygon",-83.2536270761084,42.39684255
"park",NA,"Seven Mile-Appleton Playground","Seven Mile-Appleton Playground",NA,"polygon",-83.2745159541343,42.4313866
"park",NA,"Frisbee-Pembroke Park","Frisbee-Pembroke Park",NA,"polygon",-83.2727085943448,42.4358199
"park",NA,"Margaret Simmons Playground","Margaret Simmons Playground",NA,"polygon",-83.2542284717052,42.4337134
"park",NA,"Outer Drive Fullerton Park","Outer Drive Fullerton Park",NA,"polygon",-83.2601646857368,42.3844638
"park",NA,"Outer Drive Fullerton Park","Outer Drive Fullerton Park",NA,"polygon",-83.2577910095054,42.38133925
"park",NA,"Stout Park","Stout Park",NA,"polygon",-83.2429741609066,42.4265179
"park",NA,"Wilson Park","Wilson Park",NA,"polygon",-83.2747455279229,42.38041935
"park",NA,"Rouge Valley Parkway","Rouge Valley Parkway",NA,"polygon",-83.2737307759845,42.4072097
"park",NA,"Rouge Valley Parkway","Rouge Valley Parkway",NA,"polygon",-83.2679982936564,42.41364465
"park",NA,"Fitzpatrick-Warwick Playground","Fitzpatrick-Warwick Playground",NA,"polygon",-83.2259375440862,42.3703686
"park",NA,"Lloyd H. Ryan Playground","Lloyd H. Ryan Playground",NA,"polygon",-83.2209917638749,42.3316758
