"feature_type","osm_id","label","name","operator","source_geometry","longitude","latitude"
"park","10698106034","Rome Park","Rome Park",NA,"point",-83.376482,42.5661097
"park","11151160283","Commerce Towne Place Pathways","Commerce Towne Place Pathways",NA,"point",-83.4528881,42.5605402
"park","11151160284","Commerce Towne Place Pathways","Commerce Towne Place Pathways",NA,"point",-83.4502699,42.5620134
"park","11151160285","Commerce Towne Place Pathways","Commerce Towne Place Pathways",NA,"point",-83.453647,42.5624806
"park","11151160286","Commerce Towne Place Pathways","Commerce Towne Place Pathways",NA,"point",-83.450568,42.5579649
"park","12275612201","Novi Tree Farm","Novi Tree Farm",NA,"point",-83.4882958,42.5037408
"park","13353716408","Northville's Okayest tree","Northville's Okayest tree","City of Northville","point",-83.4844931,42.4283015
"park","13358389457",NA,NA,NA,"point",-82.9086676,42.4696865
"park","421660","Lakeshore Park","Lakeshore Park",NA,"polygon",-83.4946920709194,42.50487265
"park","913476","Maheras-Gentry Park","Maheras-Gentry Park","City of Detroit","polygon",-82.9500966858648,42.35810885
"park","2991698","Heritage Park","Heritage Park",NA,"polygon",-83.3844158809896,42.4766516
"park","5964354","Lower Rouge Parkway","Lower Rouge Parkway",NA,"polygon",-83.3419740766162,42.29092505
"park","6213631","Proud Lake State Recreation Area","Proud Lake State Recreation Area",NA,"polygon",-83.5421716935059,42.5714029
"park","6601938","Hines Parkway","Hines Parkway",NA,"polygon",-83.4677822450385,42.38864215
"park","6779572","Sylvan Park","Sylvan Park","City of Ann Arbor","polygon",-83.6859639596279,42.2518117
"park","6784751","Oakridge Nature Area","Oakridge Nature Area",NA,"polygon",-83.7017837197746,42.2865682
"park","6786374","Island Park","Island Park","Ann Arbor Parks and Recreation","polygon",-83.7290710978567,42.29041365
"park","6794807","Fuller Park","Fuller Park","Ann Arbor Parks and Recreation","polygon",-83.7282247166148,42.28879095
"park","7253670",NA,NA,NA,"polygon",-83.2094832669855,42.3252279
"park","7579345","Lower Huron Metropark","Lower Huron Metropark",NA,"polygon",-83.4255718658358,42.17819285
"park","7949580","CCS Business Green","CCS Business Green",NA,"polygon",-83.0631297032422,42.36228215
"park","8032709","Balduck Memorial Park","Balduck Memorial Park","Detroit Parks & Recreation Department","polygon",-82.9187986199243,42.4140036
"park","8033581","Keast Commons","Keast Commons",NA,"polygon",-83.0721391418035,42.35773775
"park","8033582","WSU East Campus Green","WSU East Campus Green",NA,"polygon",-83.0684237143103,42.3582367
"park","8065363","Riverside Park","Riverside Park","City of Detroit","polygon",-83.0770475174169,42.31421795
"park","8226280","Arjay Miller Arboretum","Arjay Miller Arboretum",NA,"polygon",-83.2135576122948,42.31862265
"park","8363848","Civic Center Park","Civic Center Park",NA,"polygon",-83.2439899241194,42.13223505
"park","8530126","United Irish Societies Plaza","United Irish Societies Plaza",NA,"polygon",-83.0617028037061,42.33121735
"park","8813240","Conant-Minnesota Park","Conant-Minnesota Park",NA,"polygon",-83.0671249810123,42.4244921
"park","9095219","Latham Playground","Latham Playground",NA,"polygon",-83.0086261892527,42.37966025
"park","9114076","Pingree Park","Pingree Park",NA,"polygon",-83.0069717422785,42.3768888
"park","9123171","Brush Park","Brush Park","City of Detroit","polygon",-83.0506180365127,42.3435597
"park","9349804",NA,NA,NA,"polygon",-83.5509556241721,42.2356059
"park","9453200","Chandler Park","Chandler Park",NA,"polygon",-82.9750640707579,42.3966131
"park","9623180","Charlotte M. Rothstein Park","Charlotte M. Rothstein Park",NA,"polygon",-83.190990709173,42.4765049
"park","9820143","Lake Saint Clair Metropark","Lake Saint Clair Metropark","Huron-Clinton Metropolitan Authority","polygon",-82.8029516921799,42.57803255
"park","10012029","Grand Circus Park","Grand Circus Park",NA,"polygon",-83.0513467684536,42.3363743
"park","10391031","Nichols Arboretum","Nichols Arboretum","University of Michigan","polygon",-83.7223751156264,42.2790761
"park","10921219","Ward Woods Trails","Ward Woods Trails",NA,"polygon",-83.4404056452877,42.41631715
"park","11809325","Roosevelt Park","Roosevelt Park",NA,"polygon",-83.0772606649435,42.33042965
"park","12188067","River Rouge Park","River Rouge Park","City of Detroit","polygon",-83.253927802297,42.364384
"park","12188068",NA,NA,NA,"polygon",-83.253927802297,42.364384
"park","12188204","Campau Park","Campau Park",NA,"polygon",-83.025054431578,42.3445937
"park","12892885","North McLouth Park","North McLouth Park","City of Trenton","polygon",-83.2067741753288,42.15196955
"park","13011234","Brownstown Prairie State Wildlife Area","Brownstown Prairie State Wildlife Area",NA,"polygon",-83.287304308093,42.16444175
"park","13226726","Lincoln Street Art Park","Lincoln Street Art Park",NA,"polygon",-83.0830900849005,42.3624692
"park","13314314","Syracuse-Hildale Playground","Syracuse-Hildale Playground",NA,"polygon",-83.0461439492252,42.4294074
"park","13816319","Community Park","Community Park",NA,"polygon",-83.1899312490999,42.4935419
"park","13902702","Island Lake State Recreation Area","Island Lake State Recreation Area",NA,"polygon",-83.727053816798,42.50028975
"park","13991810","ITC Trailhead Park","ITC Trailhead Park",NA,"polygon",-83.5353720920187,42.4509421
"park","14065726","Manor Park","Manor Park",NA,"polygon",-83.2092155235637,42.55912
"park","14071917","Quarton Lake Park","Quarton Lake Park",NA,"polygon",-83.2277470325417,42.5493517
"park","14071918","Redding Well Site","Redding Well Site",NA,"polygon",-83.225584155183,42.5575854
"park","14078628","Kenning Park","Kenning Park",NA,"polygon",-83.1926610556957,42.5375212
"park","14078629","South Well Site","South Well Site",NA,"polygon",-83.2246165264875,42.532816
"park","14089447","Chatham Park","Chatham Park",NA,"polygon",-83.4063032232514,42.46594125
"park","14104664","Somerset North Park","Somerset North Park",NA,"polygon",-83.1852873815623,42.5656453
"park","14165908","Gainsboro Park","Gainsboro Park",NA,"polygon",-83.1368688519101,42.47520935
"park","14165909","Oakridge Park","Oakridge Park",NA,"polygon",-83.1415743673463,42.46779665
"park","14165911","Woodward Greenbelt Parks","Woodward Greenbelt Parks","City of Pleasant Ridge","polygon",-83.14554429108,42.47454525
"park","14238034","Fries Park","Fries Park",NA,"polygon",-83.2036264015868,42.5244018
"park","14425268","Clinton River Park South","Clinton River Park South",NA,"polygon",-82.9914102484124,42.58300375
"park","14478629","Foxfire South Park","Foxfire South Park","City of Ann Arbor","polygon",-83.7207561659184,42.3139175
"park","15486320","Martin Road Park","Martin Road Park",NA,"polygon",-83.1166227998562,42.4661084
"park","16190068","Clinton River Cut-Off Boating Access Site","Clinton River Cut-Off Boating Access Site","Michigan Department of Natural Resources","polygon",-82.8442106642469,42.56252
"park","16358335","Belleville Lake - East Boating Access Site","Belleville Lake - East Boating Access Site","Michigan Department of Natural Resources","polygon",-83.4730369742501,42.21236415
"park","16765107","Kennedy Park","Kennedy Park","City of Trenton","polygon",-83.2054294616341,42.13723855
"park","16765157","Lexington Park","Lexington Park","City of Trenton","polygon",-83.2039757181651,42.1306754
"park","17583958","Lake Erie Metropark","Lake Erie Metropark",NA,"polygon",-83.199291644006,42.06198415
"park","18745823","Esplanade","Esplanade",NA,"polygon",-83.0460318714603,42.33054995
"park","19620488",NA,NA,NA,"polygon",-83.2081749190714,42.48331445
"park","20158013","Scotia Park","Scotia Park","Huntington Woods Parks and Recreation","polygon",-83.1729431581462,42.48180165
"park","20734442","Nine Mile Linear Park","Nine Mile Linear Park",NA,"polygon",-83.1643211532814,42.45997325
"park",NA,"Big Island Park","Big Island Park","Charter Township of Ypsilanti","polygon",-83.5949780661615,42.21904265
"park",NA,"James F. Atchison Park","James F. Atchison Park",NA,"polygon",-83.6273889554269,42.51712725
"park",NA,"Central City Park","Central City Park",NA,"polygon",-83.401253186576,42.31916775
"park",NA,"Maybury State Park","Maybury State Park",NA,"polygon",-83.5308623128019,42.42926285
"park",NA,"Heritage Park","Heritage Park",NA,"polygon",-83.4922599360137,42.2969939
"park",NA,"Freedom Park","Freedom Park",NA,"polygon",-83.4791572199007,42.29210795
"park",NA,"Griffin Park","Griffin Park",NA,"polygon",-83.481453904337,42.3099018
"park",NA,"Atwood Park","Atwood Park",NA,"polygon",-83.3712256409862,42.2715779
"park",NA,"Romanowski Park","Romanowski Park",NA,"polygon",-83.1426230211665,42.3256421
"park",NA,"Gabriel Richard Park","Gabriel Richard Park",NA,"polygon",-82.998952192716,42.34701355
"park",NA,"Flodin Park & Fellows Creek Wetland Nature Trail","Flodin Park & Fellows Creek Wetland Nature Trail",NA,"polygon",-83.4653827196511,42.3137753
"park",NA,"Parkland Recreation Area","Parkland Recreation Area",NA,"polygon",-83.2548368626499,42.33359925
"park",NA,"Franklin Community Association","Franklin Community Association",NA,"polygon",-83.3077840560317,42.52462745
"park",NA,"Philip J. Huber Park","Philip J. Huber Park",NA,"polygon",-83.1554301121836,42.5704303
"park",NA,"Memorial Park","Memorial Park",NA,"polygon",-83.1856057869872,42.5196733
"park",NA,"Gunn-Dyer Park","Gunn-Dyer Park",NA,"polygon",-83.1884570823135,42.5235364
"park",NA,"Upton Park","Upton Park",NA,"polygon",-83.1861473552301,42.52779285
"park",NA,"Normandy Oaks Park","Normandy Oaks Park",NA,"polygon",-83.1732021145255,42.5272503
"park",NA,"Ford Field Park West","Ford Field Park West","City of Northville","polygon",-83.480724627382,42.43284855
"park",NA,"Rotary Park","Rotary Park","City of Novi","polygon",-83.4669972899311,42.4468125
"park",NA,"Cummingston Park","Cummingston Park",NA,"polygon",-83.1750349847627,42.53881035
"park",NA,"Red Oaks Nature Center","Red Oaks Nature Center",NA,"polygon",-83.0936117452394,42.51526405
"park",NA,"Clawson City Park","Clawson City Park",NA,"polygon",-83.153253704904,42.5421357
"park",NA,"Grant Park","Grant Park",NA,"polygon",-83.131231639514,42.53609845
"park",NA,"Parkland Park","Parkland Park",NA,"polygon",-83.139647840799,42.5312369
"park",NA,"Robinwood Park","Robinwood Park",NA,"polygon",-83.1373570984574,42.55350905
"park",NA,"Buhr Park","Buhr Park","City of Ann Arbor","polygon",-83.7107641905607,42.24895885
"park",NA,"Pembroke Park","Pembroke Park",NA,"polygon",-83.19457838151,42.55062435
"park",NA,"Douglas Evans Nature Preserve","Douglas Evans Nature Preserve",NA,"polygon",-83.2468589121395,42.52346675
"park",NA,"Booth Park","Booth Park",NA,"polygon",-83.2182748350123,42.54899225
"park",NA,"Linden Park","Linden Park",NA,"polygon",-83.2261124915697,42.54193825
"park",NA,"Redwood Park","Redwood Park",NA,"polygon",-83.1227861472238,42.541612
"park",NA,"Halmich Park","Halmich Park",NA,"polygon",-83.0752465705072,42.524119
"park",NA,"Dickinson Park","Dickinson Park",NA,"polygon",-83.2022815012929,42.5206208
"park",NA,"Maudlin Park","Maudlin Park",NA,"polygon",-83.1955200521818,42.52998365
"park",NA,"Howarth Park","Howarth Park",NA,"polygon",-83.206463388365,42.5346708
"park",NA,"Crestview Park","Crestview Park",NA,"polygon",-83.2235218397817,42.53475785
"park",NA,"Fred Pieper Optimist Park","Fred Pieper Optimist Park",NA,"polygon",-83.1370561304256,42.52420625
"park",NA,"Realtor Park","Realtor Park",NA,"polygon",-83.1452050116496,42.52507185
"park",NA,"Isabel & Myron Zucker Park","Isabel & Myron Zucker Park",NA,"polygon",-83.1285247952251,42.5247046
"park",NA,"Rolling Hills Park","Rolling Hills Park",NA,"polygon",-83.6511644451252,42.1797435
"park",NA,"Red Run Park","Red Run Park",NA,"polygon",-83.131897471432,42.5144004
"park",NA,"Starr Jaycee Park","Starr Jaycee Park",NA,"polygon",-83.1585489064941,42.5178086
"park",NA,"Troy Meadows Community Park","Troy Meadows Community Park",NA,"polygon",-83.1504957372504,42.5756304
"park",NA,"Sullivan Park","Sullivan Park",NA,"polygon",-83.2032933670355,42.5297673
"park",NA,"Clark Park","Clark Park",NA,"polygon",-83.0924049212531,42.3171489
"park",NA,"Reggie McKenzie Field","Reggie McKenzie Field",NA,"polygon",-83.1084712243858,42.40846335
"park",NA,"Lapeer Park","Lapeer Park",NA,"polygon",-83.1475205103097,42.3116248
"park",NA,"Patton Park","Patton Park",NA,"polygon",-83.1394519987675,42.31089795
"park",NA,"Lafayette Plaisance Park","Lafayette Plaisance Park",NA,"polygon",-83.0354062201673,42.34088365
"park",NA,"Palmer Park","Palmer Park",NA,"polygon",-83.1172508932048,42.4254627
"park",NA,"Bradley Playground","Bradley Playground",NA,"polygon",-83.0175377001513,42.3636669
"park",NA,"Erma Henderson Park","Erma Henderson Park",NA,"polygon",-82.9870447050804,42.3542143
