OBJECTID,Name,SourceID,SourceOID,PosAlong,SideOfEdge,CurbApproach,Status,SnapX,SnapY,SnapZ,DistanceToNetworkInMeters,Attr_Length,Cutoff_Length,x_coord,y_coord,x_coord_dd,y_coord_dd
73,Brewer Academy,1,10949,0.7368461067091263,1,0,0,13502142.20760418,341763.5999686142,0,0,0,NA,-082° 57.813',+42° 25.749',-82.96354417,42.42914704
74,Blackwell Institute,1,29108,0.6397752113856683,1,0,0,13490907.03686951,326932.7749359184,0,0,0,NA,-083° 0.363',+42° 23.338',-83.00604295,42.38896127
75,Loyola High School,1,16777,0.3316081294207938,1,0,0,13447278.21666641,331345.3905150746,0,0,0,NA,-083° 10.038',+42° 24.173',-83.16729645,42.40288861
76,Turning Point Academy,1,17422,0.5245820728262324,2,0,0,13493730.42784353,342013.2435692253,0,0,0,NA,-082° 59.681',+42° 25.813',-82.99468323,42.4302124
77,Escuela Avancemos,1,34046,0.4459747743511082,2,0,0,13472284.81048566,301935.6811456161,0,0,0,NA,-083° 4.583',+42° 19.271',-83.0763875,42.32117963
78,Cornerstone Schools Association,1,37412,0.62955501705106,1,0,0,13483822.77265137,340975.529344879,0,0,0,NA,-083° 1.886',+42° 25.668',-83.03143938,42.42780226
79,Cornerstone Jefferson-Douglass Academy,1,37412,0.62955501705106,1,0,0,13483822.77265137,340975.529344879,0,0,0,NA,-083° 1.886',+42° 25.668',-83.03143938,42.42780226
80,A.L. Holmes Academy of Blended Learning,1,7469,0.7441126289575355,1,0,0,13488464.97509357,329011.0022556335,0,0,0,NA,-083° 0.897',+42° 23.686',-83.01495815,42.39477133
81,Davison Elementary-Middle School,1,25145,0.4386579798430676,1,0,0,13473629.88611928,335243.7460466662,0,0,0,NA,-083° 4.171',+42° 24.751',-83.06951688,42.41251285
82,Detroit Academy of Arts and Sciences,1,32569,0.920289062407957,1,0,0,13487784.27525565,309361.9632161108,0,0,0,NA,-083° 1.119',+42° 20.453',-83.01864247,42.34088924
83,Detroit Academy of Arts and Sciences Middle School,1,32569,0.920289062407957,1,0,0,13487784.27525565,309361.9632161108,0,0,0,NA,-083° 1.119',+42° 20.453',-83.01864247,42.34088924
84,Thurgood Marshall Elementary School,1,16953,0.1536388868762517,1,0,0,13457859.95951689,332479.3239195484,0,0,0,NA,-083° 7.684',+42° 24.335',-83.12805934,42.40557951
85,Oakland International Academy - Elementary,1,21688,0.195358732169236,2,0,0,13481439.43822835,327640.9925538667,0,0,0,NA,-083° 2.463',+42° 23.479',-83.0410439,42.39131888
86,Capstone Academy Charter School-Riverbend,1,8961,0.5298631503216304,1,0,0,13506702.13748989,320429.1485592224,0,0,0,NA,-082° 56.879',+42° 22.224',-82.94798756,42.37040171
87,Earhart Elementary-Middle School,1,33973,0.6023465718604508,2,0,0,13468909.67757619,300094.4034030874,0,0,0,NA,-083° 5.338',+42° 18.976',-83.08896969,42.3162688
88,University of Detroit Jesuit,1,54137,0.8121357052839883,2,0,0,13450950.39356932,342326.3554590618,0,0,0,NA,-083° 9.187',+42° 25.972',-83.15311537,42.43287398
89,Edmonson Montessori,1,37614,0.2016067040792657,1,0,0,13472708.42296613,311994.447609674,0,0,0,NA,-083° 4.455',+42° 20.926',-83.07425035,42.34876085
90,University Preparatory Science and Math - Elementary,1,49604,0.122474271217903,1,0,0,13484112.96891499,312309.6022698699,0,0,0,NA,-083° 1.923',+42° 20.948',-83.0320477,42.34913733
91,Detroit Enterprise Academy,1,6119,0.7966984461588622,2,0,0,13500087.62628583,319676.4534025005,0,0,0,NA,-082° 58.35',+42° 22.118',-82.97250824,42.36863972
92,Mann Learning Community,1,7028,0.7683030042827181,1,0,0,13429178.11854095,318728.2921249252,0,0,0,NA,-083° 14.096',+42° 22.137',-83.23493512,42.36895691
93,Al-Ikhlas Training Academy,1,48391,0.4082854349735995,2,0,0,13475095.23408284,334412.1729179997,0,0,0,NA,-083° 3.848',+42° 24.61',-83.06413879,42.41016912
94,Foreign Language Immersion and Cultural Studies,1,43056,0.9590083909250515,1,0,0,13440805.13112016,337445.5820809978,0,0,0,NA,-083° 11.457',+42° 25.193',-83.19094573,42.41987701
95,Voyageur Academy,1,6443,0.5944827767715807,2,0,0,13460464.30231912,305904.9977512867,0,0,0,NA,-083° 7.192',+42° 19.954',-83.11987432,42.33255931
96,Western International High School,1,33985,0.6051103172645302,1,0,0,13468583.54074785,301186.9423053909,0,0,0,NA,-083° 5.407',+42° 19.157',-83.09011418,42.31928007
97,Growing Minds Academy,1,17679,0.2828477457186835,1,0,0,13506138.96662031,333295.3983811291,0,0,0,NA,-082° 56.956',+42° 24.344',-82.94926982,42.40572902
98,Warrendale Charter Academy,1,45953,0.2334260311384337,1,0,0,13430429.02337901,310994.8775839044,0,0,0,NA,-083° 13.842',+42° 20.861',-83.23069262,42.34769133
99,Detroit Merit Charter Academy,1,44254,0.0870052081641789,1,0,0,13508730.35624528,322548.7357921161,0,0,0,NA,-082° 56.421',+42° 22.567',-82.94035006,42.37612322
100,Mary McLeod Bethune Elementary-Middle School,1,40235,0.09257464799382925,2,0,0,13451707.16284421,333685.2696365382,0,0,0,NA,-083° 9.046',+42° 24.548',-83.15077459,42.4091345
101,Crockett Midtown High School of Science and Medicine,1,24234,0.3045751579390251,1,0,0,13478914.09662307,312586.515018146,0,0,0,NA,-083° 3.076',+42° 21.007',-83.05126194,42.35012163
102,Emerson Elementary-Middle School,1,12821,0.3716448906301762,2,0,0,13429711.53961185,338543.7612886147,0,0,0,NA,-083° 13.918',+42° 25.398',-83.23197311,42.42330792
103,Jerry L. White Center,1,44082,0.9896867847538604,1,0,0,13440140.98419188,337385.0509940375,0,0,0,NA,-083° 11.605',+42° 25.184',-83.19340833,42.41973635
104,Martin Luther King Jr. Senior High School,1,29123,0.3033209428912927,1,0,0,13488735.84689864,310000.6600264531,0,0,0,NA,-083° 0.905',+42° 20.556',-83.01508525,42.3425998
105,Detroit Lions Academy,1,23693,0.08241164815638671,2,0,0,13469948.0434648,312509.8677591843,0,0,0,NA,-083° 5.066',+42° 21.017',-83.08443175,42.35029086
106,Bow Elementary-Middle School,1,45918,0.3216303318714888,1,0,0,13437098.6273258,343616.5992971728,0,0,0,NA,-083° 12.261',+42° 26.217',-83.20435622,42.43695048
107,Chrysler Elementary School,1,29310,0.3568312078371847,1,0,0,13483872.20524758,308186.7739664541,0,0,0,NA,-083° 1.991',+42° 20.27',-83.03317982,42.33783576
108,Charlotte Mason Community School,1,49729,0.830984921426832,1,0,0,13462828.83086867,337280.601338277,0,0,0,NA,-083° 6.564',+42° 25.113',-83.10939756,42.41855115
109,Temple of Faith Day Care Kindergarten,1,7624,0.7622350620317396,2,0,0,13438512.91120616,317369.820801703,0,0,0,NA,-083° 12.028',+42° 21.893',-83.20046418,42.36487992
110,Universal Academy,1,7478,0.4308789282617502,2,0,0,13453423.88823734,304141.6157276646,0,0,0,NA,-083° 8.76',+42° 19.68',-83.14600438,42.32800402
111,Cesar Chavez Middle School,1,12752,0.5763571325244309,1,0,0,13461855.84603927,298186.9750109407,0,0,0,NA,-083° 6.909',+42° 18.68',-83.1151527,42.31132594
112,New Paradigm College Prep,1,16607,0.3062495959422059,1,0,0,13462964.25290948,306668.0732333427,0,0,0,NA,-083° 6.635',+42° 20.073',-83.11058744,42.33455108
113,Schulze Academy for Technology and Arts,1,45896,0.5974157622200822,2,0,0,13446905.1067112,337708.3148940715,0,0,0,NA,-083° 10.101',+42° 25.222',-83.16834247,42.42036192
114,Frontier International Academy,1,47372,0.09516712890275165,1,0,0,13476442.73497652,335117.9416263091,0,0,0,NA,-083° 3.547',+42° 24.723',-83.05910901,42.41204828
115,Golightly Education Center,1,30586,0.5947858923241437,1,0,0,13476421.05475762,317819.9846646306,0,0,0,NA,-083° 3.611',+42° 21.875',-83.06018325,42.36458758
116,ASA Higher Learning Preparatory,1,49426,0.8987213784508997,2,0,0,13453906.69503967,346490.4317579781,0,0,0,NA,-083° 8.516',+42° 26.651',-83.141941,42.44418194
117,Dove Academy of Detroit,1,37358,0.1979895040376269,1,0,0,13474497.74822139,346099.1892063877,0,0,0,NA,-083° 3.941',+42° 26.536',-83.0656823,42.44226095
118,Regent Park Scholars Charter Academy,1,53787,0.3061279801989955,1,0,0,13503729.45165056,344463.0259005809,0,0,0,NA,-082° 57.45',+42° 26.189',-82.95749829,42.43648076
119,Clippert Academy,1,37117,0.1326160147043398,1,0,0,13466488.92106412,301662.2755019341,0,0,0,NA,-083° 5.87',+42° 19.24',-83.0978319,42.32067117
120,Gompers Elementary-Middle School,1,11943,0.5914491976149073,2,0,0,13426178.07851592,327198.7404815922,0,0,0,NA,-083° 14.737',+42° 23.539',-83.24561859,42.39230874
121,W-A-Y Academy - Vernor Site,1,13615,0.7032633605835921,2,0,0,13457196.11443239,297293.49897299643,0,0,0,NA,-083° 7.946',+42° 18.544',-83.13242695,42.30906317
122,Bridge Academy West,1,23974,0.3017309233358533,2,0,0,13475751.91083734,333357.8173639342,0,0,0,NA,-083° 3.706',+42° 24.435',-83.06176792,42.40724831
123,Pulaski Elementary-Middle School,1,9310,0.738218172771547,2,0,0,13497180.09430065,344364.1188499333,0,0,0,NA,-082° 58.906',+42° 26.19',-82.98176352,42.43650758
124,Paul Robeson Malcolm X Academy,1,4538,0.7939804090294786,1,0,0,13457832.4160839,335726.2568787231,0,0,0,NA,-083° 7.679',+42° 24.869',-83.12798444,42.41448956
125,Detroit Prep,1,13732,0.4962375077701667,2,0,0,13491658.3895673,320546.4787183756,0,0,0,NA,-083° 0.219',+42° 22.284',-83.00364471,42.37140557
126,Nolan Elementary-Middle School,1,9686,0.3780928971734696,1,0,0,13467760.37366501,343936.4127739886,0,0,0,NA,-083° 5.446',+42° 26.197',-83.09076218,42.4366097
127,Bennett Elementary School,1,17125,0.7154908960364419,1,0,0,13457842.10914999,297437.8740281882,0,0,0,NA,-083° 7.802',+42° 18.566',-83.13003113,42.3094333
