OBJECTID,Name,SourceID,SourceOID,PosAlong,SideOfEdge,CurbApproach,Status,SnapX,SnapY,SnapZ,DistanceToNetworkInMeters,Attr_Length,Cutoff_Length,x_coord,y_coord,x_coord_dd,y_coord_dd
163,Burns Elementary-Middle School,1,45907,0.7521955727095677,2,0,0,13441038.34152242,327872.8269695988,0,0,0,NA,-083° 11.435',+42° 23.616',-83.19057734,42.39360205
164,Bunche Preparatory Academy,1,15921,0.7581955472017252,2,0,0,13486328.34926071,310398.8543759478,0,0,0,NA,-083° 1.438',+42° 20.628',-83.02396593,42.34379805
165,Legacy Charter Academy,1,7068,0.8002400795419029,1,0,0,13477607.46781693,341567.049203466,0,0,0,NA,-083° 3.265',+42° 25.782',-83.05442419,42.42969339
166,University Preparatory Science and Math (PSAD) Middle School,1,20375,0.2855543670954989,1,0,0,13475826.71940995,315949.5966262245,0,0,0,NA,-083° 3.749',+42° 21.569',-83.06248941,42.35948095
167,Diann Banks-Williamson Educational Center,1,15379,1,2,0,0,13511816.06988189,333897.5698818862,0,0,0,NA,-082° 55.693',+42° 24.427',-82.928214,42.407117
168,East English Village Preparatory Academy at Finney,1,15379,1,2,0,0,13511816.06988189,333897.5698818862,0,0,0,NA,-082° 55.693',+42° 24.427',-82.928214,42.407117
169,Ann Arbor Trail Magnet School,1,9347,0.2261281555198535,1,0,0,13422098.10373513,310638.0995685545,0,0,0,NA,-083° 15.692',+42° 20.821',-83.2615258,42.34701664
170,Charles R. Drew Transition Center,1,48921,0.522627995982173,1,0,0,13449904.19026927,318414.2967835856,0,0,0,NA,-083° 9.496',+42° 22.038',-83.15826178,42.36730498
171,Most Holy Trinity School,1,48008,0.2495287415055636,2,0,0,13476272.10777786,305273.989806328,0,0,0,NA,-083° 3.687',+42° 19.81',-83.061454,42.33017056
172,Jalen Rose Leadership Academy,1,12899,0.2591644339872334,1,0,0,13439725.21167628,345285.4944928749,0,0,0,NA,-083° 11.672',+42° 26.486',-83.19454069,42.44142972
173,The School at Marygrove,1,12493,0.5211610514368461,1,0,0,13450798.97371086,335415.1106519261,0,0,0,NA,-083° 9.243',+42° 24.835',-83.15404495,42.4139168
174,Fisher Magnet Academy,1,7942,0.3412271001702474,2,0,0,13502788.4328926,346508.7502658789,0,0,0,NA,-082° 57.651',+42° 26.528',-82.96085733,42.4421368
175,Old Redford Academy - High,1,48526,0.762553752250964,1,0,0,13433620.19731671,337062.5275077604,0,0,0,NA,-083° 13.054',+42° 25.146',-83.21757254,42.41909818
176,Detroit School of Arts,1,12811,0.6016385984076539,2,0,0,13476255.67520173,312077.4381045393,0,0,0,NA,-083° 3.667',+42° 20.93',-83.06112462,42.34883838
177,Spain Elementary-Middle School,1,41822,0.7311269269160848,1,0,0,13478432.60053703,312768.7047452409,0,0,0,NA,-083° 3.182',+42° 21.039',-83.05303247,42.35064214
178,Detroit Achievement Academy,1,25358,0.3227440521733265,1,0,0,13438328.92252501,337328.739211352,0,0,0,NA,-083° 12.007',+42° 25.179',-83.20012167,42.41965093
179,DPSCD Virtual School,1,46516,0.5587889538603946,2,0,0,13470856.69442268,324190.4125220008,0,0,0,NA,-083° 4.825',+42° 22.938',-83.0804105,42.38230171
180,Frederick Douglass Academy for Young Men,1,46516,0.5587889538603946,2,0,0,13470856.69442268,324190.4125220008,0,0,0,NA,-083° 4.825',+42° 22.938',-83.0804105,42.38230171
181,Lincoln-King Adams-Young 6-8,1,27595,0.3365100779510755,1,0,0,13433201.20759934,336714.9651046545,0,0,0,NA,-083° 13.149',+42° 25.09',-83.21914168,42.4181602
182,Hutchinson Elementary-Middle School,1,21709,0.4920443298928807,2,0,0,13497385.28032669,320059.8634427332,0,0,0,NA,-082° 58.949',+42° 22.189',-82.98248369,42.36981404
183,Detroit Edison Public School Academy - High School,1,15229,0.1697843390965515,2,0,0,13482928.20072903,313633.2633886335,0,0,0,NA,-083° 2.181',+42° 21.169',-83.03635269,42.35282059
184,University Preparatory Academy (PSAD) - Elementary,1,2302,0.8762815939327565,1,0,0,13471798.53986711,316608.4975346195,0,0,0,NA,-083° 4.641',+42° 21.688',-83.07735455,42.36145907
185,Greenfield Union Elementary-Middle School,1,26949,0.7569015553438989,1,0,0,13463324.29370109,342447.7719089705,0,0,0,NA,-083° 6.437',+42° 25.963',-83.10727658,42.43270847
186,Detroit Community Schools - Elementary,1,29737,0.4525229906111364,2,0,0,13426013.91952408,322799.7264638946,0,0,0,NA,-083° 14.787',+42° 22.815',-83.24644291,42.38024446
187,Detroit Community Schools - High School,1,29737,0.4525229906111364,2,0,0,13426013.91952408,322799.7264638946,0,0,0,NA,-083° 14.787',+42° 22.815',-83.24644291,42.38024446
188,Covenant High School Central,1,18281,0.5344859336451075,2,0,0,13469052.94155138,307320.1287765711,0,0,0,NA,-083° 5.282',+42° 20.165',-83.08803432,42.33608869
189,University Preparatory Science and Math (PSAD) High School,1,26915,0.3923622252282001,1,0,0,13487272.78780504,308085.548754995,0,0,0,NA,-083° 1.237',+42° 20.245',-83.02060965,42.33740953
190,Covenant High School Southwest,1,21871,0.5845349096284663,1,0,0,13469690.30255405,301692.9488727658,0,0,0,NA,-083° 5.16',+42° 19.237',-83.08599382,42.32062232
191,Old Redford Academy - Middle School,1,46065,0.7038947495035669,2,0,0,13422183.7052366,335682.9306511991,0,0,0,NA,-083° 15.599',+42° 24.944',-83.2599914,42.41573317
192,Charles Wright Academy of Arts and Science,1,22544,0.9787899418901554,2,0,0,13419944.43483045,341702.9804838423,0,0,0,NA,-083° 16.08',+42° 25.94',-83.26799252,42.43233184
193,Carleton Elementary School,1,53831,0.1433153514426297,2,0,0,13507149.75993561,341086.5249330357,0,0,0,NA,-082° 56.702',+42° 25.624',-82.94504057,42.42705884
194,George Crockett Academy,1,26979,0.3286794862298296,1,0,0,13469355.85407038,312094.2719786265,0,0,0,NA,-083° 5.199',+42° 20.951',-83.08664565,42.34917529
195,Gesu Elementary School,1,13968,0.3011358412320393,1,0,0,13454874.6253214,336862.34742055263,0,0,0,NA,-083° 8.333',+42° 25.064',-83.13887537,42.41772566
196,Oakland International Academy - K-1,1,49805,0.5942758957044152,1,0,0,13481709.51839218,327469.784279903,0,0,0,NA,-083° 2.403',+42° 23.45',-83.04005421,42.39083745
197,Flagship Charter Academy,1,53978,0.2225333447403426,1,0,0,13440835.92396286,343349.2927544453,0,0,0,NA,-083° 11.432',+42° 26.164',-83.19052627,42.43607461
198,Bates Academy,1,21170,0.812218358158875,2,0,0,13448199.26698515,344460.7524240967,0,0,0,NA,-083° 9.792',+42° 26.33',-83.16319244,42.43883872
199,Hamilton Academy,1,45293,0.2808865272624806,2,0,0,13502625.38869037,330704.7100465147,0,0,0,NA,-082° 57.746',+42° 23.927',-82.96243784,42.39878247
200,School of Love,1,13550,0.4996230547840154,1,0,0,13431885.60216119,345238.776999559,0,0,0,NA,-083° 13.415',+42° 26.496',-83.22358496,42.44159732
201,J. E. Clark Preparatory Academy,1,17710,0.5867406454648362,2,0,0,13508486.49410066,329016.668784384,0,0,0,NA,-082° 56.451',+42° 23.633',-82.94084709,42.39388067
202,Central High School,1,37808,0.5157113335799697,2,0,0,13462445.48150373,324942.1128082873,0,0,0,NA,-083° 6.69',+42° 23.083',-83.11149835,42.38471257
203,Durfee Elementary-Middle School,1,37808,0.5157113335799697,2,0,0,13462445.48150373,324942.1128082873,0,0,0,NA,-083° 6.69',+42° 23.083',-83.11149835,42.38471257
