codd,model,dependent_variable,term,b,std_error,beta,t,sig,tolerance,vif
4,3,ln_price,ECF4R410,0.307,0.038,0.177,7.988,0.001,0.719,1.391
4,3,ln_price,ECF4R411,-0.173,0.047,-0.075,-3.702,0.001,0.852,1.173
4,3,ln_price,ECF4R412,-0.201,0.085,-0.046,-2.348,0.019,0.926,1.08
4,3,ln_price,ECF4R413,0.115,0.047,0.052,2.424,0.015,0.756,1.324
4,3,ln_price,ECF4R414,0.497,0.063,0.162,7.941,0.001,0.852,1.174
4,3,ln_price,ECF4R415,0.587,0.07,0.168,8.358,0.001,0.875,1.143
4,3,ln_price,ECF4R416,-0.301,0.135,-0.043,-2.221,0.026,0.941,1.063
4,3,ln_price,ECF4R417,0.306,0.046,0.145,6.673,0.001,0.744,1.345
4,3,ln_price,ECF4R419,-0.32,0.086,-0.079,-3.705,0.001,0.782,1.279
4,3,ln_price,ECF4R421,-0.182,0.105,-0.041,-1.742,0.082,0.638,1.567
4,3,ln_price,ECF4R422,0.535,0.073,0.148,7.285,0.001,0.852,1.174
4,3,ln_price,MONTHS_1TO14,0.007,0.003,0.056,2.262,0.024,0.573,1.744
4,3,ln_price,MONTHS_15TO24,0.007,0.004,0.04,1.715,0.087,0.637,1.57
4,4,ln_price,(Constant),11.135,0.03,,373.777,0.001,,
4,4,ln_price,LN_LANDRATIO,0.126,0.063,0.039,1.998,0.046,0.859,1.164
4,4,ln_price,LN_BASE_BLDGSIZE_RATIO,0.485,0.068,0.213,7.089,0.001,0.371,2.694
4,4,ln_price,SINGLE_FAMILY2STORY,0.071,0.028,0.057,2.518,0.012,0.665,1.504
4,4,ln_price,HALF_DUPLEX1STORY,-0.262,0.083,-0.061,-3.138,0.002,0.874,1.144
4,4,ln_price,HALF_DUPLEX2STORY,-0.234,0.101,-0.045,-2.31,0.021,0.901,1.11
4,4,ln_price,TWO_BATHS,0.3,0.098,0.062,3.071,0.002,0.827,1.21
4,4,ln_price,GOOD,0.222,0.101,0.042,2.203,0.028,0.911,1.098
4,4,ln_price,FAIR,-0.165,0.026,-0.119,-6.308,0.001,0.949,1.053
4,4,ln_price,POOR,-0.265,0.081,-0.061,-3.275,0.001,0.968,1.034
4,4,ln_price,UNSOUND,-0.377,0.142,-0.049,-2.659,0.008,0.971,1.03
4,4,ln_price,QBELOW_AVG,-0.08,0.03,-0.068,-2.691,0.007,0.531,1.883
4,4,ln_price,EXT_OTHER,-0.14,0.037,-0.091,-3.822,0.001,0.59,1.695
4,4,ln_price,FIREPLACE,0.061,0.024,0.056,2.55,0.011,0.686,1.457
4,4,ln_price,CENTRAL_AIR,0.122,0.026,0.09,4.764,0.001,0.947,1.056
4,4,ln_price,ECF4R401,-0.23,0.049,-0.093,-4.731,0.001,0.869,1.151
4,4,ln_price,ECF4R402,-0.8,0.09,-0.169,-8.922,0.001,0.935,1.07
4,4,ln_price,ECF4R404,0.113,0.06,0.041,1.893,0.059,0.702,1.424
4,4,ln_price,ECF4R408,-0.122,0.041,-0.06,-3.017,0.003,0.837,1.195
4,4,ln_price,ECF4R410,0.303,0.034,0.19,8.853,0.001,0.725,1.38
4,4,ln_price,ECF4R411,-0.179,0.045,-0.079,-3.987,0.001,0.864,1.158
4,4,ln_price,ECF4R412,-0.202,0.088,-0.044,-2.289,0.022,0.925,1.082
4,4,ln_price,ECF4R413,0.09,0.043,0.044,2.104,0.036,0.773,1.294
4,4,ln_price,ECF4R414,0.544,0.057,0.19,9.612,0.001,0.856,1.168
4,4,ln_price,ECF4R415,0.562,0.063,0.174,8.898,0.001,0.873,1.145
4,4,ln_price,ECF4R417,0.308,0.041,0.159,7.443,0.001,0.734,1.362
4,4,ln_price,ECF4R419,-0.362,0.083,-0.091,-4.363,0.001,0.767,1.304
4,4,ln_price,ECF4R421,-0.273,0.085,-0.068,-3.227,0.001,0.765,1.307
4,4,ln_price,ECF4R422,0.576,0.069,0.163,8.292,0.001,0.869,1.15
4,4,ln_price,MONTHS_15TO24,0.011,0.003,0.068,3.657,0.001,0.972,1.029
4,5,ln_tasp,(Constant),11.249,0.029,,393.09,0.001,,
4,5,ln_tasp,LN_LANDRATIO,0.126,0.063,0.039,1.999,0.046,0.859,1.164
4,5,ln_tasp,LN_BASE_BLDGSIZE_RATIO,0.485,0.068,0.213,7.092,0.001,0.371,2.694
4,5,ln_tasp,SINGLE_FAMILY2STORY,0.071,0.028,0.057,2.519,0.012,0.665,1.504
4,5,ln_tasp,HALF_DUPLEX1STORY,-0.262,0.083,-0.061,-3.14,0.002,0.875,1.143
4,5,ln_tasp,HALF_DUPLEX2STORY,-0.234,0.101,-0.045,-2.311,0.021,0.901,1.11
4,5,ln_tasp,TWO_BATHS,0.3,0.098,0.062,3.072,0.002,0.827,1.209
4,5,ln_tasp,GOOD,0.222,0.101,0.042,2.203,0.028,0.911,1.098
4,5,ln_tasp,FAIR,-0.165,0.026,-0.119,-6.317,0.001,0.952,1.051
4,5,ln_tasp,POOR,-0.265,0.081,-0.061,-3.276,0.001,0.968,1.034
4,5,ln_tasp,UNSOUND,-0.377,0.141,-0.049,-2.666,0.008,0.977,1.024
4,5,ln_tasp,QBELOW_AVG,-0.08,0.03,-0.068,-2.693,0.007,0.531,1.882
4,5,ln_tasp,EXT_OTHER,-0.14,0.037,-0.091,-3.824,0.001,0.59,1.695
4,5,ln_tasp,FIREPLACE,0.061,0.024,0.056,2.553,0.011,0.688,1.453
4,5,ln_tasp,CENTRAL_AIR,0.122,0.026,0.09,4.767,0.001,0.948,1.055
4,5,ln_tasp,ECF4R401,-0.23,0.049,-0.093,-4.732,0.001,0.869,1.151
4,5,ln_tasp,ECF4R402,-0.8,0.09,-0.169,-8.926,0.001,0.935,1.069
4,5,ln_tasp,ECF4R404,0.113,0.06,0.041,1.894,0.058,0.702,1.424
4,5,ln_tasp,ECF4R408,-0.122,0.04,-0.06,-3.018,0.003,0.837,1.195
4,5,ln_tasp,ECF4R410,0.303,0.034,0.19,8.857,0.001,0.725,1.38
4,5,ln_tasp,ECF4R411,-0.179,0.045,-0.079,-3.992,0.001,0.866,1.155
4,5,ln_tasp,ECF4R412,-0.202,0.088,-0.044,-2.291,0.022,0.925,1.081
4,5,ln_tasp,ECF4R413,0.09,0.043,0.044,2.105,0.035,0.773,1.294
4,5,ln_tasp,ECF4R414,0.544,0.057,0.19,9.616,0.001,0.856,1.168
4,5,ln_tasp,ECF4R415,0.562,0.063,0.174,8.902,0.001,0.874,1.145
4,5,ln_tasp,ECF4R417,0.309,0.041,0.159,7.449,0.001,0.735,1.361
4,5,ln_tasp,ECF4R419,-0.362,0.083,-0.091,-4.367,0.001,0.767,1.303
4,5,ln_tasp,ECF4R421,-0.273,0.084,-0.068,-3.237,0.001,0.769,1.301
4,5,ln_tasp,ECF4R422,0.576,0.069,0.163,8.296,0.001,0.87,1.15
4,6,ln_tasp,(Constant),9.97,0.164,,60.864,0.001,,
4,6,ln_tasp,LN_LANDRATIO,0.132,0.054,0.042,2.421,0.016,0.843,1.186
4,6,ln_tasp,LNSBLDSFINT,0.192,0.026,0.195,7.379,0.001,0.367,2.725
4,6,ln_tasp,SINGLE_FAMILY2STORY,0.077,0.025,0.06,3.109,0.002,0.689,1.452
4,6,ln_tasp,TWO_BATHS,0.431,0.09,0.082,4.78,0.001,0.884,1.131
4,6,ln_tasp,POWDER_ROOM,0.084,0.03,0.057,2.794,0.005,0.618,1.619
4,6,ln_tasp,GOOD,0.21,0.086,0.041,2.444,0.015,0.929,1.077
4,6,ln_tasp,FAIR,-0.174,0.022,-0.128,-7.807,0.001,0.956,1.046
4,6,ln_tasp,POOR,-0.237,0.068,-0.056,-3.477,0.001,0.976,1.025
4,6,ln_tasp,UNSOUND,-0.319,0.116,-0.045,-2.755,0.006,0.979,1.021
4,6,ln_tasp,QBELOW_AVG,-0.08,0.026,-0.068,-3.062,0.002,0.522,1.915
4,6,ln_tasp,EXT_OTHER,-0.095,0.028,-0.064,-3.385,0.001,0.719,1.391
4,6,ln_tasp,YB_1946_TO_1960,0.052,0.022,0.041,2.347,0.019,0.837,1.195
4,6,ln_tasp,GARAGE,0.044,0.022,0.034,2.013,0.044,0.924,1.082
4,6,ln_tasp,FIREPLACE,0.053,0.021,0.048,2.518,0.012,0.7,1.428
4,6,ln_tasp,CENTRAL_AIR,0.109,0.024,0.075,4.548,0.001,0.941,1.062
4,6,ln_tasp,ECF4R401,-0.271,0.043,-0.109,-6.336,0.001,0.864,1.158
4,6,ln_tasp,ECF4R402,-0.782,0.08,-0.161,-9.748,0.001,0.946,1.057
4,6,ln_tasp,ECF4R403,-0.083,0.047,-0.03,-1.752,0.08,0.895,1.117
4,6,ln_tasp,ECF4R408,-0.104,0.036,-0.051,-2.875,0.004,0.819,1.22
4,6,ln_tasp,ECF4R410,0.258,0.03,0.159,8.511,0.001,0.735,1.361
4,6,ln_tasp,ECF4R411,-0.199,0.037,-0.095,-5.404,0.001,0.831,1.203
4,6,ln_tasp,ECF4R412,-0.202,0.07,-0.048,-2.877,0.004,0.922,1.084
4,6,ln_tasp,ECF4R413,0.106,0.037,0.052,2.837,0.005,0.753,1.328
4,6,ln_tasp,ECF4R414,0.546,0.053,0.178,10.277,0.001,0.854,1.171
4,6,ln_tasp,ECF4R415,0.561,0.06,0.16,9.383,0.001,0.88,1.136
4,6,ln_tasp,ECF4R416,-0.285,0.142,-0.033,-2.008,0.045,0.975,1.025
4,6,ln_tasp,ECF4R417,0.297,0.037,0.151,8.019,0.001,0.727,1.376
4,6,ln_tasp,ECF4R419,-0.409,0.067,-0.11,-6.116,0.001,0.795,1.257
4,6,ln_tasp,ECF4R421,-0.297,0.075,-0.07,-3.94,0.001,0.824,1.214
4,6,ln_tasp,ECF4R422,0.556,0.057,0.168,9.693,0.001,0.857,1.167
5,2,ln_price,(Constant),10.822,0.139,,77.753,0.001,,
5,2,ln_price,LN_LANDRATIO,0.677,0.144,0.28,4.693,0.001,,
5,2,ln_price,ARTERIAL,-0.273,0.125,-0.092,-2.187,0.03,,
5,2,ln_price,ROW_HOUSE2STORY,-1.71,0.712,-0.102,-2.403,0.017,,
5,2,ln_price,LARGE,0.493,0.147,0.245,3.35,0.001,,
5,2,ln_price,LARGEST,0.523,0.17,0.271,3.077,0.002,,
5,2,ln_price,TWO_BATHS,0.364,0.13,0.175,2.804,0.005,,
5,2,ln_price,THREE_PLUS_BATHS,0.661,0.197,0.202,3.356,0.001,,
5,2,ln_price,EXCELLENT,1.358,0.432,0.139,3.144,0.002,,
5,2,ln_price,GOOD,0.583,0.145,0.169,4.014,0.001,,
5,2,ln_price,FAIR,-0.374,0.09,-0.175,-4.144,0.001,,
5,2,ln_price,UNSOUND,-1.922,0.491,-0.161,-3.915,0.001,,
5,2,ln_price,QABOVE_AVG,0.275,0.127,0.123,2.169,0.031,,
5,2,ln_price,QPOOR,-1.617,0.724,-0.096,-2.234,0.026,,
5,2,ln_price,EXT_BRICK_SIDING,-0.337,0.111,-0.138,-3.046,0.003,,
5,2,ln_price,YB_POST_1990,-0.59,0.252,-0.104,-2.346,0.02,,
5,2,ln_price,FIREPLACE,-0.197,0.097,-0.099,-2.033,0.043,,
5,2,ln_price,HOT_WATER,0.199,0.097,0.104,2.053,0.041,,
5,2,ln_price,MONTHS_10TO16,0.067,0.013,0.217,5.144,0.001,,
5,3,ln_price,(Constant),11.428,0.114,,100.207,0.001,,
5,3,ln_price,LN_LANDRATIO,0.5,0.126,0.206,3.959,0.001,0.461,2.171
5,3,ln_price,LN_BASE_BLDGSIZE_RATIO,0.747,0.155,0.263,4.826,0.001,0.422,2.372
5,3,ln_price,ARTERIAL,-0.225,0.116,-0.075,-1.93,0.055,0.821,1.217
5,3,ln_price,ROW_HOUSE2STORY,-1.109,0.626,-0.066,-1.77,0.078,0.905,1.105
5,3,ln_price,LARGE,0.23,0.099,0.114,2.314,0.021,0.513,1.95
5,3,ln_price,TWO_BATHS,0.203,0.09,0.097,2.248,0.025,0.667,1.499
5,3,ln_price,EXCELLENT,1.546,0.393,0.159,3.93,0.001,0.77,1.299
5,3,ln_price,GOOD,0.559,0.13,0.162,4.299,0.001,0.88,1.136
5,3,ln_price,FAIR,-0.457,0.082,-0.214,-5.598,0.001,0.855,1.169
5,3,ln_price,POOR,-0.421,0.128,-0.13,-3.297,0.001,0.8,1.25
5,3,ln_price,UNSOUND,-1.956,0.436,-0.164,-4.483,0.001,0.935,1.069
5,3,ln_price,EXT_BRICK_SIDING,-0.253,0.1,-0.104,-2.534,0.012,0.742,1.348
5,3,ln_price,HOT_WATER,0.208,0.085,0.108,2.466,0.014,0.647,1.545
5,3,ln_price,ECF5R501,-0.631,0.107,-0.258,-5.909,0.001,0.659,1.517
5,3,ln_price,ECF5R502,-0.536,0.109,-0.216,-4.924,0.001,0.652,1.534
5,3,ln_price,ECF5R503,0.472,0.214,0.087,2.21,0.028,0.802,1.248
5,3,ln_price,ECF5R514,0.346,0.167,0.08,2.072,0.039,0.838,1.193
5,3,ln_price,ECF5R517_521,0.504,0.243,0.078,2.077,0.039,0.878,1.139
5,3,ln_price,ECF5R523,-0.727,0.242,-0.113,-3.006,0.003,0.885,1.129
5,3,ln_price,ECF5R528,-0.576,0.307,-0.068,-1.875,0.062,0.948,1.054
5,3,ln_price,ECF5R529,0.329,0.163,0.078,2.022,0.044,0.833,1.2
5,3,ln_price,ECF5R530_532_535,0.368,0.204,0.071,1.806,0.072,0.802,1.246
5,3,ln_price,ECF5R533,-0.913,0.231,-0.161,-3.955,0.001,0.76,1.315
5,3,ln_price,ECF5R534,-0.621,0.171,-0.152,-3.635,0.001,0.716,1.396
5,3,ln_price,ECF5R538,-1.047,0.612,-0.062,-1.712,0.088,0.948,1.055
5,3,ln_price,MONTHS_10TO16,0.067,0.012,0.218,5.761,0.001,0.873,1.145
5,4,ln_price,(Constant),11.319,0.112,,101.349,0.001,,
5,4,ln_price,LN_LANDRATIO,0.478,0.104,0.21,4.575,0.001,0.439,2.279
5,4,ln_price,ARTERIAL,-0.205,0.098,-0.072,-2.088,0.038,0.781,1.281
5,4,ln_price,ROW_HOUSE2STORY,-1.756,0.466,-0.119,-3.772,0.001,0.924,1.083
5,4,ln_price,LARGE,0.306,0.112,0.159,2.737,0.007,0.276,3.622
5,4,ln_price,LARGEST,0.58,0.121,0.316,4.791,0.001,0.214,4.681
5,4,ln_price,TWO_BATHS,0.315,0.088,0.163,3.564,0.001,0.446,2.243
5,4,ln_price,THREE_PLUS_BATHS,0.513,0.138,0.172,3.723,0.001,0.434,2.305
5,4,ln_price,EXCELLENT,1.72,0.48,0.117,3.583,0.001,0.869,1.151
5,4,ln_price,GOOD,0.586,0.111,0.175,5.287,0.001,0.842,1.188
5,4,ln_price,FAIR,-0.519,0.065,-0.26,-7.974,0.001,0.873,1.146
5,4,ln_price,POOR,-0.387,0.106,-0.121,-3.652,0.001,0.845,1.184
5,4,ln_price,EXT_BRICK_SIDING,-0.163,0.078,-0.071,-2.103,0.037,0.818,1.222
5,4,ln_price,CRAWL,0.742,0.298,0.1,2.493,0.013,0.571,1.75
5,4,ln_price,ECF5R501,-0.754,0.08,-0.341,-9.45,0.001,0.712,1.405
5,4,ln_price,ECF5R502,-0.628,0.082,-0.272,-7.632,0.001,0.727,1.375
5,4,ln_price,ECF5R503,0.354,0.177,0.067,1.994,0.047,0.818,1.223
5,4,ln_price,ECF5R517_521,0.401,0.238,0.054,1.683,0.094,0.893,1.12
5,4,ln_price,ECF5R523,-1.163,0.331,-0.137,-3.512,0.001,0.613,1.631
5,4,ln_price,ECF5R528,-0.692,0.322,-0.066,-2.151,0.032,0.97,1.031
5,4,ln_price,ECF5R533,-0.699,0.344,-0.067,-2.035,0.043,0.852,1.174
5,4,ln_price,ECF5R534,-0.934,0.16,-0.197,-5.827,0.001,0.807,1.239
5,4,ln_price,ECF5R538,-1.121,0.464,-0.076,-2.417,0.016,0.931,1.074
5,4,ln_price,ECF5R539,-0.797,0.284,-0.094,-2.809,0.005,0.836,1.197
5,4,ln_price,MONTHS_10TO16,0.066,0.009,0.225,6.924,0.001,0.878,1.139
5,5,ln_tasp,(Constant),11.771,0.106,,110.887,0.001,,
5,5,ln_tasp,LN_LANDRATIO,0.476,0.104,0.212,4.58,0.001,0.441,2.268
5,5,ln_tasp,ARTERIAL,-0.204,0.098,-0.072,-2.083,0.038,0.783,1.277
5,5,ln_tasp,ROW_HOUSE2STORY,-1.745,0.462,-0.12,-3.778,0.001,0.935,1.069
5,5,ln_tasp,LARGE,0.306,0.112,0.161,2.743,0.007,0.276,3.621
5,5,ln_tasp,LARGEST,0.58,0.121,0.32,4.81,0.001,0.214,4.676
5,5,ln_tasp,TWO_BATHS,0.315,0.088,0.164,3.567,0.001,0.446,2.241
5,5,ln_tasp,THREE_PLUS_BATHS,0.515,0.137,0.175,3.749,0.001,0.435,2.298
5,5,ln_tasp,EXCELLENT,1.722,0.479,0.119,3.595,0.001,0.869,1.151
5,5,ln_tasp,GOOD,0.582,0.11,0.177,5.313,0.001,0.856,1.169
5,5,ln_tasp,FAIR,-0.518,0.065,-0.263,-7.987,0.001,0.874,1.145
5,5,ln_tasp,POOR,-0.386,0.106,-0.122,-3.652,0.001,0.848,1.179
5,5,ln_tasp,EXT_BRICK_SIDING,-0.16,0.076,-0.07,-2.099,0.037,0.84,1.19
5,5,ln_tasp,CRAWL,0.735,0.295,0.101,2.489,0.013,0.579,1.728
5,5,ln_tasp,ECF5R501,-0.755,0.079,-0.346,-9.496,0.001,0.714,1.401
5,5,ln_tasp,ECF5R502,-0.629,0.082,-0.276,-7.652,0.001,0.727,1.375
5,5,ln_tasp,ECF5R503,0.352,0.177,0.068,1.991,0.048,0.819,1.221
5,5,ln_tasp,ECF5R517_521,0.403,0.238,0.055,1.696,0.091,0.894,1.118
5,5,ln_tasp,ECF5R523,-1.162,0.33,-0.138,-3.515,0.001,0.613,1.63
5,5,ln_tasp,ECF5R528,-0.693,0.321,-0.067,-2.158,0.032,0.97,1.031
5,5,ln_tasp,ECF5R533,-0.708,0.34,-0.069,-2.078,0.039,0.864,1.158
5,5,ln_tasp,ECF5R534,-0.93,0.159,-0.199,-5.847,0.001,0.816,1.226
5,5,ln_tasp,ECF5R538,-1.129,0.461,-0.078,-2.448,0.015,0.938,1.066
5,5,ln_tasp,ECF5R539,-0.792,0.282,-0.094,-2.806,0.005,0.841,1.19
5,6,ln_tasp,(Constant),9.796,0.552,,17.732,0.001,,
5,6,ln_tasp,LN_LANDRATIO,0.445,0.081,0.186,5.521,0.001,0.472,2.118
5,6,ln_tasp,LNSBLDSFINT,0.287,0.081,0.149,3.532,0.001,0.303,3.303
5,6,ln_tasp,ARTERIAL,-0.173,0.066,-0.065,-2.602,0.01,0.865,1.157
5,6,ln_tasp,ROW_HOUSE2STORY,-1.163,0.472,-0.059,-2.465,0.014,0.944,1.059
5,6,ln_tasp,TWO_BATHS,0.17,0.067,0.083,2.537,0.012,0.496,2.016
5,6,ln_tasp,THREE_PLUS_BATHS,0.261,0.131,0.073,1.991,0.047,0.396,2.523
5,6,ln_tasp,EXCELLENT,1.604,0.481,0.081,3.335,0.001,0.908,1.102
5,6,ln_tasp,GOOD,0.689,0.08,0.214,8.632,0.001,0.873,1.145
5,6,ln_tasp,FAIR,-0.487,0.047,-0.257,-10.304,0.001,0.862,1.16
5,6,ln_tasp,POOR,-0.436,0.076,-0.141,-5.76,0.001,0.893,1.12
5,6,ln_tasp,UNSOUND,-1.437,0.474,-0.073,-3.032,0.003,0.936,1.069
5,6,ln_tasp,EXT_BRICK_SIDING,-0.174,0.06,-0.073,-2.887,0.004,0.83,1.205
5,6,ln_tasp,FIREPLACE,0.113,0.057,0.064,1.982,0.048,0.51,1.96
5,6,ln_tasp,HOT_WATER,0.226,0.048,0.128,4.683,0.001,0.715,1.399
5,6,ln_tasp,ECF5R501,-0.604,0.072,-0.263,-8.413,0.001,0.55,1.817
5,6,ln_tasp,ECF5R502,-0.449,0.072,-0.185,-6.262,0.001,0.612,1.635
5,6,ln_tasp,ECF5R503,0.574,0.175,0.086,3.285,0.001,0.776,1.288
5,6,ln_tasp,ECF5R504,0.229,0.097,0.065,2.355,0.019,0.701,1.426
5,6,ln_tasp,ECF5R508_509,0.265,0.143,0.046,1.851,0.065,0.872,1.147
5,6,ln_tasp,ECF5R514,0.449,0.089,0.133,5.019,0.001,0.763,1.31
5,6,ln_tasp,ECF5R517_521,0.593,0.142,0.103,4.183,0.001,0.889,1.125
5,6,ln_tasp,ECF5R523,-0.549,0.172,-0.078,-3.196,0.001,0.902,1.109
5,6,ln_tasp,ECF5R528,-0.475,0.127,-0.097,-3.729,0.001,0.787,1.271
5,6,ln_tasp,ECF5R529,0.534,0.084,0.181,6.371,0.001,0.663,1.509
5,6,ln_tasp,ECF5R530_532_535,0.481,0.147,0.083,3.284,0.001,0.833,1.2
5,6,ln_tasp,ECF5R533,-0.739,0.132,-0.143,-5.585,0.001,0.823,1.215
5,6,ln_tasp,ECF5R534,-0.501,0.123,-0.106,-4.082,0.001,0.802,1.246
5,6,ln_tasp,ECF5R538,-0.876,0.197,-0.108,-4.436,0.001,0.907,1.103
6,1,ln_sppsf,(Constant),3.82,0.073,,52.094,0.001,,
6,1,ln_sppsf,ARTERIAL,0.38,0.141,0.186,2.704,0.007,,
6,1,ln_sppsf,ROW_HOUSE,1.01,0.506,0.133,1.996,0.047,,
6,1,ln_sppsf,LARGEST,0.256,0.143,0.133,1.783,0.076,,
6,1,ln_sppsf,THREE_PLUS_BATHS,-0.895,0.534,-0.118,-1.676,0.096,,
6,1,ln_sppsf,QBELOW_AVG,0.209,0.085,0.19,2.455,0.015,,
6,1,ln_sppsf,YB_PRE_1910,0.245,0.121,0.146,2.029,0.044,,
6,1,ln_sppsf,YB_1930_TO_1945,-0.209,0.119,-0.129,-1.754,0.081,,
6,1,ln_sppsf,YB_1946_TO_1960,-0.263,0.107,-0.186,-2.461,0.015,,
6,1,ln_sppsf,YB_POST_1990,0.561,0.234,0.163,2.397,0.018,,
6,1,ln_sppsf,LN_GARAGESPACES,0.223,0.112,0.141,1.997,0.047,,
6,1,ln_sppsf,CENTRAL_AIR,0.237,0.105,0.159,2.247,0.026,,
6,2,ln_price,(Constant),10.807,0.073,,148.225,0.001,,
6,2,ln_price,LN_BASE_BLDGSIZE_RATIO,1.165,0.153,0.453,7.621,0.001,,
6,2,ln_price,ARTERIAL,0.28,0.116,0.112,2.425,0.016,,
6,2,ln_price,ROW_HOUSE,1.428,0.557,0.113,2.565,0.011,,
6,2,ln_price,THREE_PLUS_BATHS,-1.033,0.418,-0.116,-2.47,0.014,,
6,2,ln_price,GOOD_VERY_GOOD,0.965,0.274,0.17,3.519,0.001,,
6,2,ln_price,FAIR,-0.231,0.072,-0.145,-3.201,0.002,,
6,2,ln_price,POOR,-0.476,0.168,-0.128,-2.836,0.005,,
6,2,ln_price,UNSOUND,-1.998,0.555,-0.158,-3.601,0.001,,
6,2,ln_price,QBELOW_AVG,0.134,0.079,0.092,1.684,0.093,,
6,2,ln_price,YB_PRE_1910,0.368,0.095,0.181,3.878,0.001,,
6,2,ln_price,YB_POST_1990,0.647,0.231,0.134,2.804,0.005,,
6,2,ln_price,LN_GARAGESPACES,0.179,0.094,0.089,1.904,0.058,,
6,2,ln_price,CENTRAL_AIR,0.172,0.097,0.08,1.769,0.078,,
6,2,ln_price,MONTHS_12TO24,0.019,0.008,0.114,2.546,0.011,,
6,3,ln_price,(Constant),10.65,0.068,,157.362,0.001,,
6,3,ln_price,ARTERIAL,0.215,0.113,0.086,1.903,0.058,0.795,1.258
6,3,ln_price,SMALLEST,-0.221,0.116,-0.084,-1.908,0.057,0.84,1.191
6,3,ln_price,LARGE,0.216,0.086,0.13,2.53,0.012,0.614,1.629
6,3,ln_price,LARGEST,0.329,0.141,0.143,2.33,0.021,0.429,2.331
6,3,ln_price,POWDER_ROOM,0.174,0.104,0.092,1.671,0.096,0.531,1.883
6,3,ln_price,FAIR,-0.189,0.068,-0.118,-2.794,0.006,0.903,1.107
6,3,ln_price,POOR,-0.492,0.157,-0.132,-3.137,0.002,0.909,1.1
6,3,ln_price,UNSOUND,-2.353,0.523,-0.186,-4.503,0.001,0.945,1.058
6,3,ln_price,EXT_BRICK,0.23,0.078,0.128,2.934,0.004,0.852,1.174
6,3,ln_price,YB_POST_1990,0.849,0.21,0.176,4.04,0.001,0.851,1.175
6,3,ln_price,ECF6R601,-0.376,0.149,-0.109,-2.518,0.012,0.864,1.157
6,3,ln_price,ECF6R603,-0.243,0.132,-0.079,-1.837,0.067,0.871,1.148
6,3,ln_price,ECF6R604,0.237,0.102,0.107,2.329,0.021,0.768,1.302
6,3,ln_price,ECF6R605,0.435,0.138,0.138,3.159,0.002,0.844,1.185
6,3,ln_price,ECF6R607,0.636,0.201,0.141,3.173,0.002,0.821,1.218
6,3,ln_price,ECF6R608,1.524,0.282,0.24,5.403,0.001,0.819,1.221
6,3,ln_price,ECF6R609_614,1.744,0.314,0.239,5.547,0.001,0.876,1.141
6,3,ln_price,ECF6R611,0.423,0.094,0.211,4.481,0.001,0.73,1.37
6,3,ln_price,ECF6R612,0.426,0.161,0.119,2.643,0.009,0.795,1.258
6,3,ln_price,ECF6R613,0.729,0.175,0.18,4.172,0.001,0.871,1.148
6,3,ln_price,ECF6R615,0.344,0.146,0.103,2.346,0.02,0.842,1.188
6,3,ln_price,ECF6R616_617,0.68,0.307,0.093,2.218,0.027,0.921,1.086
6,3,ln_price,MONTHS_12TO24,0.019,0.007,0.113,2.702,0.007,0.932,1.073
6,4,ln_price,(Constant),10.665,0.054,,196.525,0.001,,
6,4,ln_price,ARTERIAL,0.236,0.099,0.105,2.398,0.017,0.858,1.166
6,4,ln_price,LARGE,0.277,0.065,0.19,4.258,0.001,0.819,1.221
6,4,ln_price,LARGEST,0.618,0.116,0.267,5.313,0.001,0.646,1.548
6,4,ln_price,FAIR,-0.165,0.059,-0.119,-2.815,0.005,0.912,1.097
6,4,ln_price,POOR,-0.454,0.203,-0.093,-2.231,0.027,0.941,1.063
6,4,ln_price,UNSOUND,-2.598,0.398,-0.268,-6.533,0.001,0.973,1.028
6,4,ln_price,EXT_BRICK,0.252,0.069,0.158,3.663,0.001,0.881,1.135
6,4,ln_price,YB_POST_1990,0.917,0.186,0.229,4.931,0.001,0.756,1.322
6,4,ln_price,ECF6R601,-0.513,0.13,-0.172,-3.951,0.001,0.864,1.157
6,4,ln_price,ECF6R603,-0.397,0.115,-0.149,-3.469,0.001,0.884,1.131
6,4,ln_price,ECF6R604,0.254,0.082,0.14,3.086,0.002,0.793,1.261
6,4,ln_price,ECF6R605,0.414,0.112,0.16,3.681,0.001,0.861,1.162
6,4,ln_price,ECF6R607,0.538,0.211,0.123,2.551,0.011,0.704,1.42
6,4,ln_price,ECF6R608,1.409,0.412,0.145,3.423,0.001,0.908,1.101
6,4,ln_price,ECF6R609_614,1.652,0.433,0.17,3.816,0.001,0.82,1.219
6,4,ln_price,ECF6R611,0.438,0.075,0.274,5.848,0.001,0.744,1.345
6,4,ln_price,ECF6R612,0.39,0.161,0.105,2.419,0.016,0.868,1.152
6,4,ln_price,ECF6R613,0.778,0.157,0.209,4.964,0.001,0.916,1.092
6,4,ln_price,ECF6R616_617,0.681,0.287,0.099,2.371,0.019,0.936,1.068
6,4,ln_price,MONTHS_12TO24,0.012,0.006,0.083,1.987,0.048,0.938,1.066
6,5,ln_tasp,(Constant),10.822,0.048,,223.551,0.001,,
6,5,ln_tasp,ARTERIAL,0.237,0.098,0.105,2.424,0.016,0.871,1.148
6,5,ln_tasp,LARGE,0.277,0.065,0.19,4.281,0.001,0.824,1.213
6,5,ln_tasp,LARGEST,0.618,0.116,0.267,5.33,0.001,0.647,1.545
