codd,model,dependent_variable,term,b,std_error,beta,t,sig,tolerance,vif
3,2,ln_price,SMALLEST,-0.177,0.05,-0.1,-3.541,0.001,,
3,2,ln_price,SMALL,-0.077,0.034,-0.065,-2.291,0.022,,
3,2,ln_price,LARGEST,0.334,0.092,0.095,3.646,0.001,,
3,2,ln_price,FAIR,-0.172,0.032,-0.135,-5.365,0.001,,
3,2,ln_price,POOR,-0.332,0.069,-0.121,-4.828,0.001,,
3,2,ln_price,QBELOW_AVG,-0.08,0.031,-0.072,-2.611,0.009,,
3,2,ln_price,QPOOR,-0.8,0.32,-0.067,-2.503,0.012,,
3,2,ln_price,EXT_BRICK_SIDING,-0.125,0.056,-0.058,-2.228,0.026,,
3,2,ln_price,EXT_OTHER,-0.147,0.034,-0.122,-4.281,0.001,,
3,2,ln_price,YB_PRE_1910,1.072,0.318,0.089,3.373,0.001,,
3,2,ln_price,CRAWL,0.205,0.099,0.053,2.077,0.038,,
3,2,ln_price,SLAB,0.27,0.127,0.053,2.121,0.034,,
3,2,ln_price,LN_GARAGESPACES,0.118,0.044,0.067,2.65,0.008,,
3,2,ln_price,FIREPLACE,0.073,0.037,0.055,1.976,0.048,,
3,2,ln_price,HOT_WATER,0.214,0.075,0.074,2.871,0.004,,
3,2,ln_price,CENTRAL_AIR,0.112,0.036,0.079,3.09,0.002,,
3,2,ln_price,MONTHS_1TO9,0.013,0.007,0.059,1.902,0.057,,
3,2,ln_price,MONTHS_10TO24,0.006,0.003,0.052,1.677,0.094,,
3,3,ln_price,(Constant),10.835,0.051,,212.572,0.001,,
3,3,ln_price,LN_LANDRATIO,0.238,0.07,0.085,3.401,0.001,0.802,1.247
3,3,ln_price,SMALLEST,-0.13,0.046,-0.074,-2.837,0.005,0.743,1.347
3,3,ln_price,SMALL,-0.056,0.031,-0.047,-1.81,0.07,0.73,1.369
3,3,ln_price,TWO_BATHS,0.329,0.15,0.05,2.191,0.029,0.969,1.033
3,3,ln_price,POWDER_ROOM,0.169,0.061,0.067,2.778,0.006,0.87,1.15
3,3,ln_price,FAIR,-0.136,0.029,-0.107,-4.669,0.001,0.949,1.053
3,3,ln_price,POOR,-0.295,0.063,-0.108,-4.711,0.001,0.958,1.044
3,3,ln_price,QBELOW_AVG,-0.077,0.031,-0.069,-2.503,0.012,0.665,1.504
3,3,ln_price,QPOOR,-0.763,0.29,-0.064,-2.631,0.009,0.859,1.164
3,3,ln_price,EXT_OTHER,-0.153,0.032,-0.128,-4.827,0.001,0.72,1.39
