"record_type","model_name","data_name","model_class","formula","created_at","bundle_created_at","n","r","r_squared","adj_r_squared","see","ss_regression","ss_residual","ss_total","df_regression","df_residual","df_total","ms_regression","ms_residual","f","significance","aic","bic","rmse","mae","term","estimate","std_error","t_value","p_value","type","edf","ref_df"
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf2R220",-0.247923,0.097758,-2.536081,0.011228,"parametric",NA,NA
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf2R221",-0.228503,0.094266,-2.424026,0.015371,"parametric",NA,NA
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf2R222",-0.501033,0.096334,-5.20099,0,"parametric",NA,NA
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf2R223",-0.20031,0.100859,-1.986034,0.047063,"parametric",NA,NA
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf2R224",-0.578415,0.101911,-5.675689,0,"parametric",NA,NA
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf2R225",-0.182334,0.097039,-1.878975,0.060283,"parametric",NA,NA
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf2R227",-0.006165,0.150754,-0.040894,0.967381,"parametric",NA,NA
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf2R228",-0.835741,0.238274,-3.507477,0.000455,"parametric",NA,NA
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf3R301",-0.840024,0.210455,-3.991462,6.6e-05,"parametric",NA,NA
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf3R302",0.009035,0.182789,0.049429,0.960578,"parametric",NA,NA
