"record_type","model_name","data_name","model_class","formula","created_at","bundle_created_at","n","r","r_squared","adj_r_squared","see","ss_regression","ss_residual","ss_total","df_regression","df_residual","df_total","ms_regression","ms_residual","f","significance","aic","bic","rmse","mae","term","estimate","std_error","t_value","p_value","type","edf","ref_df"
"model","cod_nlmod_time_23_25","df","gam/glm/lm","ln_sppsf ~ arterial + single_family1story + half_duplex1story + half_duplex2story + smallest + small + large + largest + two_plus_baths + powder_room + good + fair + poor + very_poor_unsound + qabove_avg + qbelow_avg + s(sresb_yearbuilt, bs = ""cs"", k = 10) + crawl + slab + s(ln_garagespaces, bs = ""cs"", k = 4) + fireplace + hot_water + elec_baseboard + wall + central_air + s(months, bs = ""cs"", k = 10)","2026-02-18 21:55:36 UTC","2026-02-18 21:55:36 UTC",9309,0.370003,0.136902,0.133432,0.508127,379.67164,2393.63744,2773.309081,44,9270.723496,9308,8.628901,0.258193,33.420331,0,13857.166273,14151.818133,0.507081,0.409183,NA,NA,NA,NA,NA,NA,NA,NA
"model","cod_nlmod_ln_price_no_ecf_23_25","df","gam/glm/lm","ln_price ~ s(ln_landratio, bs = ""cs"", k = 10) + s(ln_base_bldgsize_ratio, bs = ""cs"", k = 10) + arterial + single_family1story + half_duplex1story + half_duplex2story + smallest + small + large + largest + two_plus_baths + powder_room + good + fair + poor + very_poor_unsound + qabove_avg + qbelow_avg + s(sresb_yearbuilt, bs = ""cs"", k = 10) + crawl + slab + s(ln_garagespaces, bs = ""cs"", k = 4) + fireplace + hot_water + elec_baseboard + wall + central_air + s(months, bs = ""cs"", k = 10)","2026-02-18 21:55:36 UTC","2026-02-18 21:55:36 UTC",9309,0.603563,0.364289,0.361152,0.503334,1344.673758,2346.55825,3691.232008,62,9262.304378,9308,21.688286,0.253345,85.607724,0,13689.53044,14045.869995,0.50207,0.404838,NA,NA,NA,NA,NA,NA,NA,NA
"model","cod_nlmod_base_23_25","df","gam/glm/lm","ln_price ~ s(ln_landratio, bs = ""cs"", k = 10) + s(ln_base_bldgsize_ratio, bs = ""cs"", k = 10) + arterial + single_family1story + half_duplex1story + half_duplex2story + smallest + small + large + largest + two_plus_baths + powder_room + good + fair + poor + very_poor_unsound + qabove_avg + qbelow_avg + s(sresb_yearbuilt, bs = ""cs"", k = 10) + crawl + slab + s(ln_garagespaces, bs = ""cs"", k = 4) + fireplace + hot_water + elec_baseboard + wall + central_air + s(months, bs = ""cs"", k = 10) + ecf","2026-02-18 21:55:36 UTC","2026-02-18 21:55:36 UTC",9309,0.714126,0.509976,0.49835,0.446024,1882.440408,1808.7916,3691.232008,243,9092.28459,9308,7.746668,0.198937,38.940314,0,11607.318715,13180.221237,0.440801,0.359995,NA,NA,NA,NA,NA,NA,NA,NA
"model","cod_nlmod_tasp_23_25","dfa","gam/glm/lm","ln_tasp_re ~ s(ln_landratio, bs = ""cs"", k = 10) + s(ln_base_bldgsize_ratio, bs = ""cs"", k = 10) + arterial + single_family1story + half_duplex1story + half_duplex2story + smallest + small + large + largest + two_plus_baths + powder_room + good + fair + poor + very_poor_unsound + qabove_avg + qbelow_avg + s(sresb_yearbuilt, bs = ""cs"", k = 10) + crawl + slab + s(ln_garagespaces, bs = ""cs"", k = 4) + fireplace + hot_water + elec_baseboard + wall + central_air + ecf + s(months, bs = ""cs"", k = 10)","2026-02-18 21:55:36 UTC","2026-02-18 21:55:36 UTC",8441,0.752021,0.565536,0.555149,0.38213,1566.786435,1203.658992,2770.445426,229,8242.941515,8440,6.841862,0.146023,46.854691,0,7915.745048,9331.145103,0.37762,0.315856,NA,NA,NA,NA,NA,NA,NA,NA
"model","cod_nlmod_alt_23_25","dfa","gam/glm/lm","ln_tasp_re ~ s(ln_landratio, bs = ""cs"", k = 10) + s(lnsbldsfint, bs = ""cs"", k = 10) + arterial + single_family1story + half_duplex1story + half_duplex2story + smallest + small + large + largest + two_plus_baths + powder_room + good + fair + poor + very_poor_unsound + qabove_avg + qbelow_avg + s(sresb_yearbuilt, bs = ""cs"", k = 10) + crawl + slab + garage + fireplace + hot_water + elec_baseboard + wall + central_air + ecf + s(months, bs = ""cs"", k = 10)","2026-02-18 21:55:36 UTC","2026-02-18 21:55:36 UTC",8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,NA,NA,NA,NA,NA,NA,NA,NA
"model","cod_nlmod_alt2_23_25","dfa","gam/glm/lm","ln_tasp_re ~ s(ln_landratio, bs = ""cs"", k = 10) + s(lnsbldsfint, bs = ""cs"", k = 10) + arterial + single_family1story + half_duplex1story + half_duplex2story + smallest + small + large + largest + two_plus_baths + powder_room + good + fair + poor + very_poor_unsound + qabove_avg + qbelow_avg + s(sresb_yearbuilt, bs = ""cs"", k = 10) + crawl + slab + garage + fireplace + hot_water + elec_baseboard + wall + central_air + ecf","2026-02-18 21:55:36 UTC","2026-02-18 21:55:36 UTC",8441,0.751959,0.565443,0.555105,0.382149,1566.528132,1203.917295,2770.445426,217,8243.885463,8440,7.219024,0.146038,49.432635,0,7912.455447,9309.898397,0.37766,0.315922,NA,NA,NA,NA,NA,NA,NA,NA
"coefficient","cod_nlmod_time_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.370003,0.136902,0.133432,0.508127,379.67164,2393.63744,2773.309081,44,9270.723496,9308,8.628901,0.258193,33.420331,0,13857.166273,14151.818133,0.507081,0.409183,"(Intercept)",4.134466,0.020015,206.565358,0,"parametric",NA,NA
"coefficient","cod_nlmod_time_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.370003,0.136902,0.133432,0.508127,379.67164,2393.63744,2773.309081,44,9270.723496,9308,8.628901,0.258193,33.420331,0,13857.166273,14151.818133,0.507081,0.409183,"arterial",-0.006069,0.020283,-0.299193,0.7648,"parametric",NA,NA
"coefficient","cod_nlmod_time_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.370003,0.136902,0.133432,0.508127,379.67164,2393.63744,2773.309081,44,9270.723496,9308,8.628901,0.258193,33.420331,0,13857.166273,14151.818133,0.507081,0.409183,"single_family1story",0.034345,0.016816,2.04245,0.041135,"parametric",NA,NA
"coefficient","cod_nlmod_time_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.370003,0.136902,0.133432,0.508127,379.67164,2393.63744,2773.309081,44,9270.723496,9308,8.628901,0.258193,33.420331,0,13857.166273,14151.818133,0.507081,0.409183,"half_duplex1story",-0.004311,0.07144,-0.060346,0.951881,"parametric",NA,NA
"coefficient","cod_nlmod_time_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.370003,0.136902,0.133432,0.508127,379.67164,2393.63744,2773.309081,44,9270.723496,9308,8.628901,0.258193,33.420331,0,13857.166273,14151.818133,0.507081,0.409183,"half_duplex2story",0.04972,0.091469,0.54357,0.586751,"parametric",NA,NA
"coefficient","cod_nlmod_time_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.370003,0.136902,0.133432,0.508127,379.67164,2393.63744,2773.309081,44,9270.723496,9308,8.628901,0.258193,33.420331,0,13857.166273,14151.818133,0.507081,0.409183,"smallest",0.142476,0.022177,6.424347,0,"parametric",NA,NA
"coefficient","cod_nlmod_time_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.370003,0.136902,0.133432,0.508127,379.67164,2393.63744,2773.309081,44,9270.723496,9308,8.628901,0.258193,33.420331,0,13857.166273,14151.818133,0.507081,0.409183,"small",0.05279,0.015372,3.434202,0.000597,"parametric",NA,NA
"coefficient","cod_nlmod_time_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.370003,0.136902,0.133432,0.508127,379.67164,2393.63744,2773.309081,44,9270.723496,9308,8.628901,0.258193,33.420331,0,13857.166273,14151.818133,0.507081,0.409183,"large",-0.007229,0.01742,-0.415001,0.678151,"parametric",NA,NA
"coefficient","cod_nlmod_time_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.370003,0.136902,0.133432,0.508127,379.67164,2393.63744,2773.309081,44,9270.723496,9308,8.628901,0.258193,33.420331,0,13857.166273,14151.818133,0.507081,0.409183,"largest",0.032693,0.031415,1.040684,0.298049,"parametric",NA,NA
"coefficient","cod_nlmod_time_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.370003,0.136902,0.133432,0.508127,379.67164,2393.63744,2773.309081,44,9270.723496,9308,8.628901,0.258193,33.420331,0,13857.166273,14151.818133,0.507081,0.409183,"two_plus_baths",0.075558,0.037678,2.005366,0.044953,"parametric",NA,NA
"coefficient","cod_nlmod_time_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.370003,0.136902,0.133432,0.508127,379.67164,2393.63744,2773.309081,44,9270.723496,9308,8.628901,0.258193,33.420331,0,13857.166273,14151.818133,0.507081,0.409183,"powder_room",0.022246,0.021762,1.022228,0.3067,"parametric",NA,NA
"coefficient","cod_nlmod_time_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.370003,0.136902,0.133432,0.508127,379.67164,2393.63744,2773.309081,44,9270.723496,9308,8.628901,0.258193,33.420331,0,13857.166273,14151.818133,0.507081,0.409183,"good",0.293349,0.040515,7.240587,0,"parametric",NA,NA
"coefficient","cod_nlmod_time_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.370003,0.136902,0.133432,0.508127,379.67164,2393.63744,2773.309081,44,9270.723496,9308,8.628901,0.258193,33.420331,0,13857.166273,14151.818133,0.507081,0.409183,"fair",-0.205903,0.01348,-15.274508,0,"parametric",NA,NA
"coefficient","cod_nlmod_time_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.370003,0.136902,0.133432,0.508127,379.67164,2393.63744,2773.309081,44,9270.723496,9308,8.628901,0.258193,33.420331,0,13857.166273,14151.818133,0.507081,0.409183,"poor",-0.333972,0.03255,-10.260242,0,"parametric",NA,NA
"coefficient","cod_nlmod_time_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.370003,0.136902,0.133432,0.508127,379.67164,2393.63744,2773.309081,44,9270.723496,9308,8.628901,0.258193,33.420331,0,13857.166273,14151.818133,0.507081,0.409183,"very_poor_unsound",-0.398024,0.078967,-5.040408,0,"parametric",NA,NA
"coefficient","cod_nlmod_time_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.370003,0.136902,0.133432,0.508127,379.67164,2393.63744,2773.309081,44,9270.723496,9308,8.628901,0.258193,33.420331,0,13857.166273,14151.818133,0.507081,0.409183,"qabove_avg",0.411335,0.038517,10.679437,0,"parametric",NA,NA
"coefficient","cod_nlmod_time_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.370003,0.136902,0.133432,0.508127,379.67164,2393.63744,2773.309081,44,9270.723496,9308,8.628901,0.258193,33.420331,0,13857.166273,14151.818133,0.507081,0.409183,"qbelow_avg",-0.036781,0.013836,-2.658273,0.007868,"parametric",NA,NA
"coefficient","cod_nlmod_time_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.370003,0.136902,0.133432,0.508127,379.67164,2393.63744,2773.309081,44,9270.723496,9308,8.628901,0.258193,33.420331,0,13857.166273,14151.818133,0.507081,0.409183,"crawl",-0.008166,0.042502,-0.192138,0.847638,"parametric",NA,NA
"coefficient","cod_nlmod_time_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.370003,0.136902,0.133432,0.508127,379.67164,2393.63744,2773.309081,44,9270.723496,9308,8.628901,0.258193,33.420331,0,13857.166273,14151.818133,0.507081,0.409183,"slab",-0.092907,0.051994,-1.786859,0.073993,"parametric",NA,NA
"coefficient","cod_nlmod_time_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.370003,0.136902,0.133432,0.508127,379.67164,2393.63744,2773.309081,44,9270.723496,9308,8.628901,0.258193,33.420331,0,13857.166273,14151.818133,0.507081,0.409183,"fireplace",0.117122,0.013595,8.615247,0,"parametric",NA,NA
"coefficient","cod_nlmod_time_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.370003,0.136902,0.133432,0.508127,379.67164,2393.63744,2773.309081,44,9270.723496,9308,8.628901,0.258193,33.420331,0,13857.166273,14151.818133,0.507081,0.409183,"hot_water",0.081007,0.021868,3.704341,0.000213,"parametric",NA,NA
"coefficient","cod_nlmod_time_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.370003,0.136902,0.133432,0.508127,379.67164,2393.63744,2773.309081,44,9270.723496,9308,8.628901,0.258193,33.420331,0,13857.166273,14151.818133,0.507081,0.409183,"elec_baseboard",-0.262698,0.230683,-1.138784,0.254823,"parametric",NA,NA
"coefficient","cod_nlmod_time_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.370003,0.136902,0.133432,0.508127,379.67164,2393.63744,2773.309081,44,9270.723496,9308,8.628901,0.258193,33.420331,0,13857.166273,14151.818133,0.507081,0.409183,"wall",-0.123553,0.085463,-1.445692,0.148297,"parametric",NA,NA
"coefficient","cod_nlmod_time_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.370003,0.136902,0.133432,0.508127,379.67164,2393.63744,2773.309081,44,9270.723496,9308,8.628901,0.258193,33.420331,0,13857.166273,14151.818133,0.507081,0.409183,"central_air",0.103028,0.013793,7.469424,0,"parametric",NA,NA
"coefficient","cod_nlmod_time_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.370003,0.136902,0.133432,0.508127,379.67164,2393.63744,2773.309081,44,9270.723496,9308,8.628901,0.258193,33.420331,0,13857.166273,14151.818133,0.507081,0.409183,"s(sresb_yearbuilt)",NA,NA,24.43823,0,"smooth",7.523612,9
"coefficient","cod_nlmod_time_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.370003,0.136902,0.133432,0.508127,379.67164,2393.63744,2773.309081,44,9270.723496,9308,8.628901,0.258193,33.420331,0,13857.166273,14151.818133,0.507081,0.409183,"s(ln_garagespaces)",NA,NA,0.984566,0.049581,"smooth",0.854384,3
"coefficient","cod_nlmod_time_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.370003,0.136902,0.133432,0.508127,379.67164,2393.63744,2773.309081,44,9270.723496,9308,8.628901,0.258193,33.420331,0,13857.166273,14151.818133,0.507081,0.409183,"s(months)",NA,NA,19.625099,0,"smooth",5.898508,9
"coefficient","cod_nlmod_ln_price_no_ecf_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.603563,0.364289,0.361152,0.503334,1344.673758,2346.55825,3691.232008,62,9262.304378,9308,21.688286,0.253345,85.607724,0,13689.53044,14045.869995,0.50207,0.404838,"(Intercept)",11.217955,0.022432,500.076655,0,"parametric",NA,NA
"coefficient","cod_nlmod_ln_price_no_ecf_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.603563,0.364289,0.361152,0.503334,1344.673758,2346.55825,3691.232008,62,9262.304378,9308,21.688286,0.253345,85.607724,0,13689.53044,14045.869995,0.50207,0.404838,"arterial",-0.002115,0.02013,-0.105076,0.916317,"parametric",NA,NA
"coefficient","cod_nlmod_ln_price_no_ecf_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.603563,0.364289,0.361152,0.503334,1344.673758,2346.55825,3691.232008,62,9262.304378,9308,21.688286,0.253345,85.607724,0,13689.53044,14045.869995,0.50207,0.404838,"single_family1story",0.020125,0.016808,1.197323,0.231211,"parametric",NA,NA
"coefficient","cod_nlmod_ln_price_no_ecf_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.603563,0.364289,0.361152,0.503334,1344.673758,2346.55825,3691.232008,62,9262.304378,9308,21.688286,0.253345,85.607724,0,13689.53044,14045.869995,0.50207,0.404838,"half_duplex1story",-0.191314,0.072876,-2.62519,0.008674,"parametric",NA,NA
"coefficient","cod_nlmod_ln_price_no_ecf_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.603563,0.364289,0.361152,0.503334,1344.673758,2346.55825,3691.232008,62,9262.304378,9308,21.688286,0.253345,85.607724,0,13689.53044,14045.869995,0.50207,0.404838,"half_duplex2story",-0.128911,0.091993,-1.401321,0.161151,"parametric",NA,NA
"coefficient","cod_nlmod_ln_price_no_ecf_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.603563,0.364289,0.361152,0.503334,1344.673758,2346.55825,3691.232008,62,9262.304378,9308,21.688286,0.253345,85.607724,0,13689.53044,14045.869995,0.50207,0.404838,"smallest",0.025686,0.049383,0.520149,0.602972,"parametric",NA,NA
"coefficient","cod_nlmod_ln_price_no_ecf_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.603563,0.364289,0.361152,0.503334,1344.673758,2346.55825,3691.232008,62,9262.304378,9308,21.688286,0.253345,85.607724,0,13689.53044,14045.869995,0.50207,0.404838,"small",-0.006091,0.024019,-0.253599,0.799811,"parametric",NA,NA
"coefficient","cod_nlmod_ln_price_no_ecf_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.603563,0.364289,0.361152,0.503334,1344.673758,2346.55825,3691.232008,62,9262.304378,9308,21.688286,0.253345,85.607724,0,13689.53044,14045.869995,0.50207,0.404838,"large",0.039913,0.026717,1.493911,0.135233,"parametric",NA,NA
"coefficient","cod_nlmod_ln_price_no_ecf_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.603563,0.364289,0.361152,0.503334,1344.673758,2346.55825,3691.232008,62,9262.304378,9308,21.688286,0.253345,85.607724,0,13689.53044,14045.869995,0.50207,0.404838,"largest",0.10361,0.046446,2.230767,0.02572,"parametric",NA,NA
"coefficient","cod_nlmod_ln_price_no_ecf_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.603563,0.364289,0.361152,0.503334,1344.673758,2346.55825,3691.232008,62,9262.304378,9308,21.688286,0.253345,85.607724,0,13689.53044,14045.869995,0.50207,0.404838,"two_plus_baths",0.136857,0.052565,2.603607,0.00924,"parametric",NA,NA
"coefficient","cod_nlmod_ln_price_no_ecf_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.603563,0.364289,0.361152,0.503334,1344.673758,2346.55825,3691.232008,62,9262.304378,9308,21.688286,0.253345,85.607724,0,13689.53044,14045.869995,0.50207,0.404838,"powder_room",0.040592,0.025194,1.611171,0.107177,"parametric",NA,NA
"coefficient","cod_nlmod_ln_price_no_ecf_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.603563,0.364289,0.361152,0.503334,1344.673758,2346.55825,3691.232008,62,9262.304378,9308,21.688286,0.253345,85.607724,0,13689.53044,14045.869995,0.50207,0.404838,"good",0.297962,0.040161,7.419117,0,"parametric",NA,NA
"coefficient","cod_nlmod_ln_price_no_ecf_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.603563,0.364289,0.361152,0.503334,1344.673758,2346.55825,3691.232008,62,9262.304378,9308,21.688286,0.253345,85.607724,0,13689.53044,14045.869995,0.50207,0.404838,"fair",-0.199883,0.013373,-14.946196,0,"parametric",NA,NA
"coefficient","cod_nlmod_ln_price_no_ecf_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.603563,0.364289,0.361152,0.503334,1344.673758,2346.55825,3691.232008,62,9262.304378,9308,21.688286,0.253345,85.607724,0,13689.53044,14045.869995,0.50207,0.404838,"poor",-0.322817,0.032282,-9.999843,0,"parametric",NA,NA
"coefficient","cod_nlmod_ln_price_no_ecf_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.603563,0.364289,0.361152,0.503334,1344.673758,2346.55825,3691.232008,62,9262.304378,9308,21.688286,0.253345,85.607724,0,13689.53044,14045.869995,0.50207,0.404838,"very_poor_unsound",-0.382531,0.078277,-4.886886,1e-06,"parametric",NA,NA
"coefficient","cod_nlmod_ln_price_no_ecf_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.603563,0.364289,0.361152,0.503334,1344.673758,2346.55825,3691.232008,62,9262.304378,9308,21.688286,0.253345,85.607724,0,13689.53044,14045.869995,0.50207,0.404838,"qabove_avg",0.405072,0.039942,10.141501,0,"parametric",NA,NA
"coefficient","cod_nlmod_ln_price_no_ecf_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.603563,0.364289,0.361152,0.503334,1344.673758,2346.55825,3691.232008,62,9262.304378,9308,21.688286,0.253345,85.607724,0,13689.53044,14045.869995,0.50207,0.404838,"qbelow_avg",-0.045767,0.013846,-3.305418,0.000952,"parametric",NA,NA
"coefficient","cod_nlmod_ln_price_no_ecf_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.603563,0.364289,0.361152,0.503334,1344.673758,2346.55825,3691.232008,62,9262.304378,9308,21.688286,0.253345,85.607724,0,13689.53044,14045.869995,0.50207,0.404838,"crawl",-0.022075,0.042412,-0.520497,0.60273,"parametric",NA,NA
"coefficient","cod_nlmod_ln_price_no_ecf_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.603563,0.364289,0.361152,0.503334,1344.673758,2346.55825,3691.232008,62,9262.304378,9308,21.688286,0.253345,85.607724,0,13689.53044,14045.869995,0.50207,0.404838,"slab",-0.11529,0.051805,-2.225464,0.026074,"parametric",NA,NA
"coefficient","cod_nlmod_ln_price_no_ecf_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.603563,0.364289,0.361152,0.503334,1344.673758,2346.55825,3691.232008,62,9262.304378,9308,21.688286,0.253345,85.607724,0,13689.53044,14045.869995,0.50207,0.404838,"fireplace",0.118112,0.013752,8.588955,0,"parametric",NA,NA
"coefficient","cod_nlmod_ln_price_no_ecf_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.603563,0.364289,0.361152,0.503334,1344.673758,2346.55825,3691.232008,62,9262.304378,9308,21.688286,0.253345,85.607724,0,13689.53044,14045.869995,0.50207,0.404838,"hot_water",0.082522,0.021751,3.793868,0.000149,"parametric",NA,NA
"coefficient","cod_nlmod_ln_price_no_ecf_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.603563,0.364289,0.361152,0.503334,1344.673758,2346.55825,3691.232008,62,9262.304378,9308,21.688286,0.253345,85.607724,0,13689.53044,14045.869995,0.50207,0.404838,"elec_baseboard",-0.230779,0.229298,-1.006458,0.314221,"parametric",NA,NA
"coefficient","cod_nlmod_ln_price_no_ecf_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.603563,0.364289,0.361152,0.503334,1344.673758,2346.55825,3691.232008,62,9262.304378,9308,21.688286,0.253345,85.607724,0,13689.53044,14045.869995,0.50207,0.404838,"wall",-0.135269,0.085005,-1.591302,0.111576,"parametric",NA,NA
"coefficient","cod_nlmod_ln_price_no_ecf_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.603563,0.364289,0.361152,0.503334,1344.673758,2346.55825,3691.232008,62,9262.304378,9308,21.688286,0.253345,85.607724,0,13689.53044,14045.869995,0.50207,0.404838,"central_air",0.101795,0.013664,7.449655,0,"parametric",NA,NA
"coefficient","cod_nlmod_ln_price_no_ecf_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.603563,0.364289,0.361152,0.503334,1344.673758,2346.55825,3691.232008,62,9262.304378,9308,21.688286,0.253345,85.607724,0,13689.53044,14045.869995,0.50207,0.404838,"s(ln_landratio)",NA,NA,19.263901,0,"smooth",6.318444,9
"coefficient","cod_nlmod_ln_price_no_ecf_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.603563,0.364289,0.361152,0.503334,1344.673758,2346.55825,3691.232008,62,9262.304378,9308,21.688286,0.253345,85.607724,0,13689.53044,14045.869995,0.50207,0.404838,"s(ln_base_bldgsize_ratio)",NA,NA,8.482951,0,"smooth",2.93441,9
"coefficient","cod_nlmod_ln_price_no_ecf_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.603563,0.364289,0.361152,0.503334,1344.673758,2346.55825,3691.232008,62,9262.304378,9308,21.688286,0.253345,85.607724,0,13689.53044,14045.869995,0.50207,0.404838,"s(sresb_yearbuilt)",NA,NA,17.783299,0,"smooth",7.756367,9
"coefficient","cod_nlmod_ln_price_no_ecf_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.603563,0.364289,0.361152,0.503334,1344.673758,2346.55825,3691.232008,62,9262.304378,9308,21.688286,0.253345,85.607724,0,13689.53044,14045.869995,0.50207,0.404838,"s(ln_garagespaces)",NA,NA,0.000123,0.738473,"smooth",0.00228,3
"coefficient","cod_nlmod_ln_price_no_ecf_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.603563,0.364289,0.361152,0.503334,1344.673758,2346.55825,3691.232008,62,9262.304378,9308,21.688286,0.253345,85.607724,0,13689.53044,14045.869995,0.50207,0.404838,"s(months)",NA,NA,20.607853,0,"smooth",5.68412,9
"coefficient","cod_nlmod_base_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.714126,0.509976,0.49835,0.446024,1882.440408,1808.7916,3691.232008,243,9092.28459,9308,7.746668,0.198937,38.940314,0,11607.318715,13180.221237,0.440801,0.359995,"(Intercept)",11.509367,0.099509,115.66202,0,"parametric",NA,NA
"coefficient","cod_nlmod_base_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.714126,0.509976,0.49835,0.446024,1882.440408,1808.7916,3691.232008,243,9092.28459,9308,7.746668,0.198937,38.940314,0,11607.318715,13180.221237,0.440801,0.359995,"arterial",0.01318,0.018796,0.701207,0.483192,"parametric",NA,NA
"coefficient","cod_nlmod_base_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.714126,0.509976,0.49835,0.446024,1882.440408,1808.7916,3691.232008,243,9092.28459,9308,7.746668,0.198937,38.940314,0,11607.318715,13180.221237,0.440801,0.359995,"single_family1story",0.01392,0.015122,0.920563,0.357303,"parametric",NA,NA
"coefficient","cod_nlmod_base_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.714126,0.509976,0.49835,0.446024,1882.440408,1808.7916,3691.232008,243,9092.28459,9308,7.746668,0.198937,38.940314,0,11607.318715,13180.221237,0.440801,0.359995,"half_duplex1story",-0.232379,0.066112,-3.514936,0.000442,"parametric",NA,NA
"coefficient","cod_nlmod_base_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.714126,0.509976,0.49835,0.446024,1882.440408,1808.7916,3691.232008,243,9092.28459,9308,7.746668,0.198937,38.940314,0,11607.318715,13180.221237,0.440801,0.359995,"half_duplex2story",-0.10475,0.084982,-1.232618,0.21775,"parametric",NA,NA
"coefficient","cod_nlmod_base_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.714126,0.509976,0.49835,0.446024,1882.440408,1808.7916,3691.232008,243,9092.28459,9308,7.746668,0.198937,38.940314,0,11607.318715,13180.221237,0.440801,0.359995,"smallest",-0.029259,0.042379,-0.690403,0.489958,"parametric",NA,NA
