"record_type","model_name","data_name","model_class","formula","created_at","bundle_created_at","n","r","r_squared","adj_r_squared","see","ss_regression","ss_residual","ss_total","df_regression","df_residual","df_total","ms_regression","ms_residual","f","significance","sigma","aic","bic","rmse","mae","term","estimate","std_error","t_value","p_value"
"model","d2_mod_time_23_25","data","lm","ln_sppsf ~ smallest + small + good + fair + poor + very_poor_unsound + qabove_avg + qbelow_avg + yb_pre_1929 + yb_1946_to_1960 + yb_post_1961 + crawl + ln_garagespaces + fireplace + hot_water + central_air + months_1to9 + months_10to16","2026-04-01 21:10:01 UTC","2026-04-01 21:10:01 UTC",2857,0.467858,0.218891,0.213937,0.455138,164.745503,587.892373,752.637876,18,2838,2856,9.152528,0.20715,44.183043,0,0.455138,3630.944891,3750.095439,0.453622,0.372983,NA,NA,NA,NA,NA
"model","d2_mod_ln_price_no_ecf_23_25","data","lm","ln_price ~ ln_landratio + ln_base_bldgsize_ratio + half_duplex1story + half_duplex2story + two_plus_baths + powder_room + good + fair + poor + very_poor_unsound + qabove_avg + qbelow_avg + yb_pre_1929 + crawl + ln_garagespaces + fireplace + hot_water + central_air + months_1to9 + months_10to16","2026-04-01 21:10:01 UTC","2026-04-01 21:10:01 UTC",2857,0.683137,0.466676,0.462915,0.453968,511.423957,584.463009,1095.886965,20,2836,2856,25.571198,0.206087,124.079567,0,0.453968,3618.230296,3749.295899,0.452297,0.371394,NA,NA,NA,NA,NA
"model","d2_mod_base_23_25","data","lm","ln_price ~ ln_landratio + ln_base_bldgsize_ratio + half_duplex1story + half_duplex2story + largest + good + fair + poor + very_poor_unsound + qabove_avg + qbelow_avg + yb_pre_1929 + crawl + ln_garagespaces + fireplace + hot_water + elec_baseboard + ecf_2R202 + ecf_2R203 + ecf_2R204 + ecf_2R205 + ecf_2R206 + ecf_2R207 + ecf_2R208 + ecf_2R209 + ecf_2R210 + ecf_2R211 + ecf_2R212 + ecf_2R213 + ecf_2R214 + ecf_2R215 + ecf_2R216 + ecf_2R218 + ecf_2R219 + ecf_2R221 + ecf_2R222 + ecf_2R224 + ecf_2R226 + ecf_2R227 + ecf_2R228 + ecf_2R229 + ecf_2R230 + months_10to16 + months_17to24","2026-04-01 21:10:01 UTC","2026-04-01 21:10:01 UTC",2857,0.731876,0.535642,0.528376,0.425404,587.003528,508.883437,1095.886965,44,2812,2856,13.340989,0.180969,73.719951,0,0.425404,3270.608637,3544.654897,0.42204,0.350459,NA,NA,NA,NA,NA
"model","d2_mod_base_inliers_23_25","data","lm","ln_price ~ ln_landratio + ln_base_bldgsize_ratio + arterial + half_duplex1story + half_duplex2story + largest + good + fair + poor + very_poor_unsound + qabove_avg + qbelow_avg + yb_pre_1929 + crawl + ln_garagespaces + fireplace + hot_water + elec_baseboard + ecf_2R202 + ecf_2R203 + ecf_2R204 + ecf_2R205 + ecf_2R206 + ecf_2R207 + ecf_2R208 + ecf_2R209 + ecf_2R210 + ecf_2R211 + ecf_2R212 + ecf_2R213 + ecf_2R214 + ecf_2R215 + ecf_2R216 + ecf_2R218 + ecf_2R219 + ecf_2R221 + ecf_2R222 + ecf_2R224 + ecf_2R226 + ecf_2R227 + ecf_2R228 + ecf_2R230 + months_10to16 + months_17to24","2026-04-01 21:10:01 UTC","2026-04-01 21:10:01 UTC",2681,0.754168,0.56877,0.56207,0.383828,512.791548,388.788826,901.580374,41,2639,2680,12.507111,0.147324,84.895099,0,0.383828,2517.581907,2771.021548,0.38081,0.322202,NA,NA,NA,NA,NA
"model","d2_mod_tasp1_23_25","data","lm","ln_tasp_re ~ ln_landratio + ln_base_bldgsize_ratio + arterial + half_duplex1story + half_duplex2story + largest + good + fair + poor + very_poor_unsound + qabove_avg + qbelow_avg + yb_pre_1929 + crawl + ln_garagespaces + fireplace + hot_water + elec_baseboard + ecf_2R202 + ecf_2R203 + ecf_2R204 + ecf_2R205 + ecf_2R206 + ecf_2R207 + ecf_2R208 + ecf_2R209 + ecf_2R210 + ecf_2R211 + ecf_2R212 + ecf_2R213 + ecf_2R214 + ecf_2R215 + ecf_2R216 + ecf_2R218 + ecf_2R219 + ecf_2R221 + ecf_2R222 + ecf_2R224 + ecf_2R226 + ecf_2R227 + ecf_2R228 + ecf_2R230","2026-04-01 21:10:01 UTC","2026-04-01 21:10:01 UTC",2681,0.74817,0.559758,0.553257,0.383689,494.351437,388.800132,883.151569,39,2641,2680,12.675678,0.147217,86.10199,0,0.383689,2513.659872,2755.311623,0.380816,0.322199,NA,NA,NA,NA,NA
"model","d2_mod_tasp2_23_25","data","lm","ln_tasp_re ~ ln_landratio + lnsbldsfint + arterial + smallest + largest + good + fair + poor + very_poor_unsound + qabove_avg + qbelow_avg + yb_pre_1929 + crawl + garage + fireplace + hot_water + elec_baseboard + ecf_2R202 + ecf_2R203 + ecf_2R204 + ecf_2R205 + ecf_2R206 + ecf_2R207 + ecf_2R208 + ecf_2R209 + ecf_2R210 + ecf_2R211 + ecf_2R212 + ecf_2R213 + ecf_2R214 + ecf_2R215 + ecf_2R216 + ecf_2R218 + ecf_2R219 + ecf_2R221 + ecf_2R222 + ecf_2R224 + ecf_2R226 + ecf_2R227 + ecf_2R228 + ecf_2R230","2026-04-01 21:10:01 UTC","2026-04-01 21:10:01 UTC",2681,0.748251,0.559879,0.553549,0.383564,494.457923,388.693646,883.151569,38,2642,2680,13.012051,0.147121,88.444558,0,0.383564,2510.925487,2746.683293,0.380764,0.322207,NA,NA,NA,NA,NA
"coefficient","d2_mod_time_23_25","data",NA,NA,"2026-04-01 21:10:01 UTC",NA,2857,0.467858,0.218891,0.213937,0.455138,164.745503,587.892373,752.637876,18,2838,2856,9.152528,0.20715,44.183043,0,0.455138,3630.944891,3750.095439,0.453622,0.372983,"(Intercept)",4.114632,0.033552,122.634323,0
"coefficient","d2_mod_time_23_25","data",NA,NA,"2026-04-01 21:10:01 UTC",NA,2857,0.467858,0.218891,0.213937,0.455138,164.745503,587.892373,752.637876,18,2838,2856,9.152528,0.20715,44.183043,0,0.455138,3630.944891,3750.095439,0.453622,0.372983,"smallest",0.168679,0.038877,4.338749,1.5e-05
"coefficient","d2_mod_time_23_25","data",NA,NA,"2026-04-01 21:10:01 UTC",NA,2857,0.467858,0.218891,0.213937,0.455138,164.745503,587.892373,752.637876,18,2838,2856,9.152528,0.20715,44.183043,0,0.455138,3630.944891,3750.095439,0.453622,0.372983,"small",0.078556,0.026772,2.93424,0.00337
"coefficient","d2_mod_time_23_25","data",NA,NA,"2026-04-01 21:10:01 UTC",NA,2857,0.467858,0.218891,0.213937,0.455138,164.745503,587.892373,752.637876,18,2838,2856,9.152528,0.20715,44.183043,0,0.455138,3630.944891,3750.095439,0.453622,0.372983,"good",0.29265,0.069133,4.233165,2.4e-05
