"record_type","model_name","data_name","model_class","formula","created_at","bundle_created_at","n","r","r_squared","adj_r_squared","see","ss_regression","ss_residual","ss_total","df_regression","df_residual","df_total","ms_regression","ms_residual","f","significance","sigma","aic","bic","rmse","mae","term","estimate","std_error","t_value","p_value"
"model","d4_mod_time_23_25","data","lm","ln_sppsf ~ single_family1story + smallest + small + large + largest + good + fair + poor + very_poor_unsound + qabove_avg + qbelow_avg + yb_1946_to_1960 + yb_post_1961 + ln_garagespaces + fireplace + hot_water + central_air + months_10to16","2026-04-01 16:36:09 UTC","2026-04-01 16:36:09 UTC",2264,0.340983,0.11627,0.109184,0.520238,79.940459,607.602952,687.543411,18,2245,2263,4.441137,0.270647,16.409321,0,0.520238,3486.96322,3601.460989,0.51805,0.421027,NA,NA,NA,NA,NA
"model","d4_mod_ln_price_no_ecf_23_25","data","lm","ln_price ~ ln_landratio + ln_base_bldgsize_ratio + smallest + small + good + fair + poor + very_poor_unsound + qabove_avg + qbelow_avg + yb_1946_to_1960 + yb_post_1961 + slab + ln_garagespaces + fireplace + hot_water + central_air + months_10to16","2026-04-01 16:36:09 UTC","2026-04-01 16:36:09 UTC",2264,0.508295,0.258364,0.252418,0.517044,209.080509,600.166493,809.247002,18,2245,2263,11.615584,0.267335,43.449586,0,0.517044,3459.083136,3573.580904,0.51487,0.418676,NA,NA,NA,NA,NA
"model","d4_mod_base_23_25","data","lm","ln_price ~ ln_landratio + ln_base_bldgsize_ratio + arterial + single_family1story + half_duplex1story + two_plus_baths + good + fair + poor + very_poor_unsound + yb_1946_to_1960 + ln_garagespaces + fireplace + central_air + ecf_4R402 + ecf_4R404 + ecf_4R405 + ecf_4R406 + ecf_4R408 + ecf_4R409 + ecf_4R410 + ecf_4R413 + ecf_4R414 + ecf_4R415 + ecf_4R416 + ecf_4R417 + ecf_4R419 + ecf_4R421 + ecf_4R422 + months_10to16","2026-04-01 16:36:09 UTC","2026-04-01 16:36:09 UTC",2264,0.629835,0.396692,0.388587,0.46759,321.022119,488.224883,809.247002,30,2233,2263,10.700737,0.218641,48.942091,0,0.46759,3015.723398,3198.919828,0.464378,0.382333,NA,NA,NA,NA,NA
"model","d4_mod_base_inliers_23_25","data","lm","ln_price ~ ln_landratio + ln_base_bldgsize_ratio + single_family1story + half_duplex1story + two_plus_baths + good + fair + poor + very_poor_unsound + qbelow_avg + yb_1946_to_1960 + ln_garagespaces + fireplace + wall + central_air + ecf_4R402 + ecf_4R404 + ecf_4R405 + ecf_4R406 + ecf_4R408 + ecf_4R409 + ecf_4R410 + ecf_4R413 + ecf_4R414 + ecf_4R415 + ecf_4R417 + ecf_4R419 + ecf_4R422 + months_10to16","2026-04-01 16:36:09 UTC","2026-04-01 16:36:09 UTC",2130,0.673774,0.453972,0.446431,0.414411,299.843616,360.645896,660.489512,29,2100,2129,10.339435,0.171736,60.205353,0,0.414411,2323.839302,2499.419497,0.411482,0.346978,NA,NA,NA,NA,NA
"model","d4_mod_tasp1_23_25","data","lm","ln_tasp_re ~ ln_landratio + ln_base_bldgsize_ratio + single_family1story + half_duplex1story + two_plus_baths + good + fair + poor + very_poor_unsound + qbelow_avg + yb_1946_to_1960 + ln_garagespaces + fireplace + wall + central_air + ecf_4R402 + ecf_4R404 + ecf_4R405 + ecf_4R406 + ecf_4R408 + ecf_4R409 + ecf_4R410 + ecf_4R413 + ecf_4R414 + ecf_4R415 + ecf_4R417 + ecf_4R419 + ecf_4R422","2026-04-01 16:36:09 UTC","2026-04-01 16:36:09 UTC",2130,0.671259,0.450588,0.443266,0.414318,295.785184,360.657134,656.442318,28,2101,2129,10.563757,0.17166,61.538926,0,0.414318,2321.905673,2491.821991,0.411488,0.346963,NA,NA,NA,NA,NA
"model","d4_mod_tasp2_23_25","data","lm","ln_tasp_re ~ ln_landratio + lnsbldsfint + single_family1story + two_plus_baths + powder_room + good + fair + poor + very_poor_unsound + qbelow_avg + yb_1946_to_1960 + garage + fireplace + wall + central_air + ecf_4R402 + ecf_4R403 + ecf_4R404 + ecf_4R405 + ecf_4R406 + ecf_4R408 + ecf_4R409 + ecf_4R410 + ecf_4R413 + ecf_4R414 + ecf_4R415 + ecf_4R417 + ecf_4R419 + ecf_4R422","2026-04-01 16:36:09 UTC","2026-04-01 16:36:09 UTC",2130,0.672746,0.452588,0.445028,0.413662,297.097804,359.344513,656.442318,29,2100,2129,10.244752,0.171116,59.870064,0,0.413662,2316.139347,2491.719542,0.410739,0.345954,NA,NA,NA,NA,NA
"coefficient","d4_mod_time_23_25","data",NA,NA,"2026-04-01 16:36:09 UTC",NA,2264,0.340983,0.11627,0.109184,0.520238,79.940459,607.602952,687.543411,18,2245,2263,4.441137,0.270647,16.409321,0,0.520238,3486.96322,3601.460989,0.51805,0.421027,"(Intercept)",3.938906,0.040039,98.377604,0
"coefficient","d4_mod_time_23_25","data",NA,NA,"2026-04-01 16:36:09 UTC",NA,2264,0.340983,0.11627,0.109184,0.520238,79.940459,607.602952,687.543411,18,2245,2263,4.441137,0.270647,16.409321,0,0.520238,3486.96322,3601.460989,0.51805,0.421027,"single_family1story",-0.072389,0.028273,-2.560328,0.010522
"coefficient","d4_mod_time_23_25","data",NA,NA,"2026-04-01 16:36:09 UTC",NA,2264,0.340983,0.11627,0.109184,0.520238,79.940459,607.602952,687.543411,18,2245,2263,4.441137,0.270647,16.409321,0,0.520238,3486.96322,3601.460989,0.51805,0.421027,"smallest",0.278088,0.047743,5.824713,0
"coefficient","d4_mod_time_23_25","data",NA,NA,"2026-04-01 16:36:09 UTC",NA,2264,0.340983,0.11627,0.109184,0.520238,79.940459,607.602952,687.543411,18,2245,2263,4.441137,0.270647,16.409321,0,0.520238,3486.96322,3601.460989,0.51805,0.421027,"small",0.135812,0.03631,3.740331,0.000188
