"record_type","model_name","data_name","model_class","formula","created_at","bundle_created_at","n","r","r_squared","adj_r_squared","see","ss_regression","ss_residual","ss_total","df_regression","df_residual","df_total","ms_regression","ms_residual","f","significance","sigma","aic","bic","rmse","mae","term","estimate","std_error","t_value","p_value"
"model","d1_mod_time_23_25","data","lm","ln_sppsf ~ smallest + largest + good + fair + poor + very_poor_unsound + qabove_avg + yb_pre_1929 + yb_1946_to_1960 + crawl + slab + ln_garagespaces + fireplace + central_air + months_10to16","2026-04-01 13:55:22 UTC","2026-04-01 13:55:22 UTC",2855,0.367404,0.134986,0.130415,0.455804,92.04195,589.822142,681.864092,15,2839,2854,6.13613,0.207757,29.535129,0,0.455804,3633.786654,3735.052715,0.454525,0.37313,NA,NA,NA,NA,NA
"model","d1_mod_ln_price_no_ecf_23_25","data","lm","ln_price ~ ln_landratio + ln_base_bldgsize_ratio + half_duplex2story + largest + good + fair + poor + very_poor_unsound + qabove_avg + qbelow_avg + yb_pre_1929 + yb_1946_to_1960 + crawl + slab + ln_garagespaces + fireplace + central_air + months_10to16","2026-04-01 13:55:22 UTC","2026-04-01 13:55:22 UTC",2855,0.593843,0.352649,0.34854,0.452851,316.825083,581.589598,898.414681,18,2836,2854,17.601393,0.205074,85.829513,0,0.452851,3599.656785,3718.793327,0.451341,0.37116,NA,NA,NA,NA,NA
"model","d1_mod_base_23_25","data","lm","ln_price ~ ln_landratio + ln_base_bldgsize_ratio + half_duplex1story + half_duplex2story + good + fair + poor + very_poor_unsound + qbelow_avg + yb_pre_1929 + yb_1946_to_1960 + crawl + slab + ln_garagespaces + fireplace + central_air + ecf_1R102 + ecf_1R103 + ecf_1R105 + ecf_1R106 + ecf_1R108 + ecf_1R113 + ecf_1R114 + ecf_1R115 + ecf_1R116 + ecf_1R118 + ecf_1R119 + ecf_1R122 + ecf_1R123 + ecf_1R124 + ecf_1R126 + ecf_1R127 + ecf_1R128 + ecf_1R130 + ecf_1R131 + ecf_1R133 + ecf_1R134 + ecf_1R135 + ecf_1R136 + ecf_1R137 + months_10to16","2026-04-01 13:55:22 UTC","2026-04-01 13:55:22 UTC",2855,0.670745,0.449899,0.441881,0.419155,404.19604,494.218641,898.414681,41,2813,2854,9.85844,0.175691,56.112395,0,0.419155,3180.899819,3437.043385,0.416061,0.343245,NA,NA,NA,NA,NA
"model","d1_mod_base_inliers_23_25","data","lm","ln_price ~ ln_landratio + ln_base_bldgsize_ratio + half_duplex1story + half_duplex2story + good + fair + poor + very_poor_unsound + qbelow_avg + yb_pre_1929 + yb_1946_to_1960 + crawl + slab + ln_garagespaces + fireplace + central_air + ecf_1R102 + ecf_1R103 + ecf_1R105 + ecf_1R106 + ecf_1R107 + ecf_1R108 + ecf_1R113 + ecf_1R114 + ecf_1R115 + ecf_1R116 + ecf_1R118 + ecf_1R119 + ecf_1R122 + ecf_1R124 + ecf_1R126 + ecf_1R127 + ecf_1R128 + ecf_1R130 + ecf_1R131 + ecf_1R133 + ecf_1R134 + ecf_1R135 + ecf_1R136 + ecf_1R137 + months_10to16","2026-04-01 13:55:22 UTC","2026-04-01 13:55:22 UTC",2683,0.708397,0.501826,0.494092,0.371437,367.036974,364.365793,731.402767,41,2641,2682,8.952121,0.137965,64.886861,0,0.371437,2343.327304,2596.79901,0.368518,0.310561,NA,NA,NA,NA,NA
"model","d1_mod_tasp1_23_25","data","lm","ln_tasp_re ~ ln_landratio + ln_base_bldgsize_ratio + half_duplex1story + half_duplex2story + good + fair + poor + very_poor_unsound + qbelow_avg + yb_pre_1929 + yb_1946_to_1960 + crawl + slab + ln_garagespaces + fireplace + central_air + ecf_1R102 + ecf_1R103 + ecf_1R105 + ecf_1R106 + ecf_1R107 + ecf_1R108 + ecf_1R113 + ecf_1R114 + ecf_1R115 + ecf_1R116 + ecf_1R118 + ecf_1R119 + ecf_1R122 + ecf_1R124 + ecf_1R126 + ecf_1R127 + ecf_1R128 + ecf_1R130 + ecf_1R131 + ecf_1R133 + ecf_1R134 + ecf_1R135 + ecf_1R136 + ecf_1R137","2026-04-01 13:55:22 UTC","2026-04-01 13:55:22 UTC",2683,0.703177,0.494458,0.486804,0.371435,356.508491,364.50028,721.008771,40,2642,2682,8.912712,0.137964,64.601832,0,0.371435,2342.31742,2589.894435,0.368586,0.310561,NA,NA,NA,NA,NA
"model","d1_mod_tasp2_23_25","data","lm","ln_tasp_re ~ ln_landratio + lnsbldsfint + half_duplex2story + large + largest + good + fair + poor + very_poor_unsound + qabove_avg + qbelow_avg + yb_pre_1929 + yb_1946_to_1960 + crawl + slab + garage + fireplace + central_air + ecf_1R102 + ecf_1R103 + ecf_1R105 + ecf_1R106 + ecf_1R107 + ecf_1R108 + ecf_1R113 + ecf_1R114 + ecf_1R115 + ecf_1R116 + ecf_1R118 + ecf_1R119 + ecf_1R122 + ecf_1R124 + ecf_1R126 + ecf_1R127 + ecf_1R128 + ecf_1R130 + ecf_1R131 + ecf_1R133 + ecf_1R134 + ecf_1R135 + ecf_1R136 + ecf_1R137","2026-04-01 13:55:22 UTC","2026-04-01 13:55:22 UTC",2683,0.703282,0.494606,0.486566,0.371521,356.615392,364.393379,721.008771,42,2640,2682,8.490843,0.138028,61.515455,0,0.371521,2345.530428,2604.896825,0.368532,0.31062,NA,NA,NA,NA,NA
"coefficient","d1_mod_time_23_25","data",NA,NA,"2026-04-01 13:55:22 UTC",NA,2855,0.367404,0.134986,0.130415,0.455804,92.04195,589.822142,681.864092,15,2839,2854,6.13613,0.207757,29.535129,0,0.455804,3633.786654,3735.052715,0.454525,0.37313,"(Intercept)",4.104228,0.024606,166.795538,0
"coefficient","d1_mod_time_23_25","data",NA,NA,"2026-04-01 13:55:22 UTC",NA,2855,0.367404,0.134986,0.130415,0.455804,92.04195,589.822142,681.864092,15,2839,2854,6.13613,0.207757,29.535129,0,0.455804,3633.786654,3735.052715,0.454525,0.37313,"smallest",0.055516,0.029997,1.850709,0.064315
"coefficient","d1_mod_time_23_25","data",NA,NA,"2026-04-01 13:55:22 UTC",NA,2855,0.367404,0.134986,0.130415,0.455804,92.04195,589.822142,681.864092,15,2839,2854,6.13613,0.207757,29.535129,0,0.455804,3633.786654,3735.052715,0.454525,0.37313,"largest",0.061277,0.03395,1.804936,0.071191
"coefficient","d1_mod_time_23_25","data",NA,NA,"2026-04-01 13:55:22 UTC",NA,2855,0.367404,0.134986,0.130415,0.455804,92.04195,589.822142,681.864092,15,2839,2854,6.13613,0.207757,29.535129,0,0.455804,3633.786654,3735.052715,0.454525,0.37313,"good",0.108199,0.063522,1.703334,0.088615
