"record_type","model_name","data_name","model_class","formula","created_at","bundle_created_at","n","r","r_squared","adj_r_squared","see","ss_regression","ss_residual","ss_total","df_regression","df_residual","df_total","ms_regression","ms_residual","f","significance","sigma","aic","bic","rmse","mae","term","estimate","std_error","t_value","p_value"
"model","d5_mod_time_23_25","data","lm","ln_sppsf ~ half_duplex1story + large + good + fair + poor + very_poor_unsound + qabove_avg + elec_baseboard + wall + months_10to16","2026-04-01 18:02:03 UTC","2026-04-01 18:02:03 UTC",645,0.514147,0.264347,0.256263,0.736166,124.048799,345.21617,469.264969,7,637,644,17.721257,0.541941,32.699629,0,0.736166,1445.25442,1485.477673,0.731587,0.594882,NA,NA,NA,NA,NA
"model","d5_mod_ln_price_no_ecf_23_25","data","lm","ln_price ~ ln_landratio + ln_base_bldgsize_ratio + arterial + single_family1story + half_duplex1story + largest + good + fair + poor + very_poor_unsound + qabove_avg + yb_post_1961 + fireplace + elec_baseboard + wall + months_10to16","2026-04-01 18:02:03 UTC","2026-04-01 18:02:03 UTC",645,0.654641,0.428554,0.416781,0.729712,251.978693,335.994934,587.973627,13,631,644,19.382976,0.53248,36.401317,0,0.729712,1439.791227,1506.829981,0.72175,0.592273,NA,NA,NA,NA,NA
"model","d5_mod_base_23_25","data","lm","ln_price ~ ln_landratio + ln_base_bldgsize_ratio + single_family1story + half_duplex1story + good + fair + poor + very_poor_unsound + qabove_avg + qbelow_avg + yb_pre_1929 + yb_post_1961 + ln_garagespaces + elec_baseboard + wall + ecf_5R503 + ecf_5R504 + ecf_5R506 + ecf_5R509 + ecf_5R511 + ecf_5R512 + ecf_5R514 + ecf_5R516 + ecf_5R517 + ecf_5R521 + ecf_5R524 + ecf_5R529 + ecf_5R530 + ecf_5R531 + ecf_5R532 + ecf_5R539 + months_10to16","2026-04-01 18:02:03 UTC","2026-04-01 18:02:03 UTC",645,0.749668,0.562002,0.541349,0.647109,330.442556,257.531071,587.973627,29,615,644,11.394571,0.41875,27.210935,0,0.647109,1300.249796,1438.796556,0.631881,0.502236,NA,NA,NA,NA,NA
"model","d5_mod_base_inliers_23_25","data","lm","ln_price ~ ln_base_bldgsize_ratio + single_family1story + half_duplex1story + half_duplex2story + smallest + small + large + two_plus_baths + good + fair + poor + very_poor_unsound + qabove_avg + ln_garagespaces + fireplace + elec_baseboard + wall + ecf_5R503 + ecf_5R504 + ecf_5R506 + ecf_5R507 + ecf_5R508 + ecf_5R509 + ecf_5R511 + ecf_5R512 + ecf_5R513 + ecf_5R514 + ecf_5R516 + ecf_5R517 + ecf_5R518 + ecf_5R521 + ecf_5R524 + ecf_5R529 + ecf_5R530 + ecf_5R531 + ecf_5R532 + ecf_5R535 + ecf_5R539 + months_10to16","2026-04-01 18:02:03 UTC","2026-04-01 18:02:03 UTC",594,0.830431,0.689616,0.670737,0.533053,352.906565,158.837172,511.743737,34,559,593,10.379605,0.284145,36.529227,0,0.533053,974.213146,1132.140801,0.51711,0.417405,NA,NA,NA,NA,NA
"model","d5_mod_tasp1_23_25","data","lm","ln_tasp_re ~ ln_base_bldgsize_ratio + single_family1story + half_duplex1story + half_duplex2story + smallest + small + large + two_plus_baths + good + fair + poor + very_poor_unsound + qabove_avg + ln_garagespaces + fireplace + elec_baseboard + wall + ecf_5R503 + ecf_5R504 + ecf_5R506 + ecf_5R507 + ecf_5R508 + ecf_5R509 + ecf_5R511 + ecf_5R512 + ecf_5R513 + ecf_5R514 + ecf_5R516 + ecf_5R517 + ecf_5R518 + ecf_5R521 + ecf_5R524 + ecf_5R529 + ecf_5R530 + ecf_5R531 + ecf_5R532 + ecf_5R535 + ecf_5R539","2026-04-01 18:02:03 UTC","2026-04-01 18:02:03 UTC",594,0.823086,0.677471,0.658465,0.532697,333.787455,158.909007,492.696463,33,560,593,10.114771,0.283766,35.644751,0,0.532697,972.481726,1126.022502,0.517227,0.416911,NA,NA,NA,NA,NA
"model","d5_mod_tasp2_23_25","data","lm","ln_tasp_re ~ lnsbldsfint + single_family1story + half_duplex1story + half_duplex2story + two_plus_baths + good + fair + poor + very_poor_unsound + qabove_avg + garage + fireplace + elec_baseboard + wall + ecf_5R503 + ecf_5R504 + ecf_5R506 + ecf_5R507 + ecf_5R508 + ecf_5R509 + ecf_5R511 + ecf_5R512 + ecf_5R513 + ecf_5R514 + ecf_5R516 + ecf_5R517 + ecf_5R518 + ecf_5R521 + ecf_5R524 + ecf_5R529 + ecf_5R530 + ecf_5R531 + ecf_5R532 + ecf_5R535 + ecf_5R539","2026-04-01 18:02:03 UTC","2026-04-01 18:02:03 UTC",594,0.819947,0.672314,0.654853,0.535506,331.246665,161.449797,492.696463,30,563,593,11.041556,0.286767,38.503584,0,0.535506,975.904041,1116.284179,0.521345,0.42126,NA,NA,NA,NA,NA
"coefficient","d5_mod_time_23_25","data",NA,NA,"2026-04-01 18:02:03 UTC",NA,645,0.514147,0.264347,0.256263,0.736166,124.048799,345.21617,469.264969,7,637,644,17.721257,0.541941,32.699629,0,0.736166,1445.25442,1485.477673,0.731587,0.594882,"(Intercept)",3.943365,0.06294,62.652995,0
"coefficient","d5_mod_time_23_25","data",NA,NA,"2026-04-01 18:02:03 UTC",NA,645,0.514147,0.264347,0.256263,0.736166,124.048799,345.21617,469.264969,7,637,644,17.721257,0.541941,32.699629,0,0.736166,1445.25442,1485.477673,0.731587,0.594882,"large",-0.190846,0.062658,-3.045823,0.002416
"coefficient","d5_mod_time_23_25","data",NA,NA,"2026-04-01 18:02:03 UTC",NA,645,0.514147,0.264347,0.256263,0.736166,124.048799,345.21617,469.264969,7,637,644,17.721257,0.541941,32.699629,0,0.736166,1445.25442,1485.477673,0.731587,0.594882,"good",0.808722,0.110962,7.288259,0
"coefficient","d5_mod_time_23_25","data",NA,NA,"2026-04-01 18:02:03 UTC",NA,645,0.514147,0.264347,0.256263,0.736166,124.048799,345.21617,469.264969,7,637,644,17.721257,0.541941,32.699629,0,0.736166,1445.25442,1485.477673,0.731587,0.594882,"fair",-0.336927,0.066473,-5.068649,1e-06
