"record_type","model_name","data_name","model_class","formula","created_at","bundle_created_at","n","r","r_squared","adj_r_squared","see","ss_regression","ss_residual","ss_total","df_regression","df_residual","df_total","ms_regression","ms_residual","f","significance","sigma","aic","bic","rmse","mae","term","estimate","std_error","t_value","p_value"
"model","d3_mod_time_23_25","data","lm","ln_sppsf ~ arterial + single_family1story + half_duplex2story + smallest + large + fair + poor + qabove_avg + qbelow_avg + yb_pre_1929 + yb_post_1961 + crawl + slab + ln_garagespaces + hot_water + central_air + months_1to9 + months_10to16","2026-04-01 15:53:26 UTC","2026-04-01 15:53:26 UTC",1921,0.350057,0.12254,0.114701,0.549429,80.22532,574.46342,654.68874,17,1903,1920,4.719136,0.301873,15.632878,0,0.549429,3170.598378,3276.2498,0.546849,0.437928,NA,NA,NA,NA,NA
"model","d3_mod_ln_price_no_ecf_23_25","data","lm","ln_price ~ ln_base_bldgsize_ratio + arterial + half_duplex2story + large + fair + poor + qabove_avg + qbelow_avg + yb_pre_1929 + yb_post_1961 + crawl + slab + ln_garagespaces + fireplace + hot_water + central_air + months_1to9 + months_10to16","2026-04-01 15:53:26 UTC","2026-04-01 15:53:26 UTC",1921,0.410604,0.168595,0.161168,0.548805,116.227262,573.158505,689.385766,17,1903,1920,6.836898,0.301187,22.699858,0,0.548805,3166.229791,3271.881213,0.546228,0.437765,NA,NA,NA,NA,NA
"model","d3_mod_base_23_25","data","lm","ln_price ~ ln_base_bldgsize_ratio + half_duplex2story + largest + fair + poor + very_poor_unsound + qabove_avg + qbelow_avg + yb_pre_1929 + ln_garagespaces + wall + central_air + ecf_3R302 + ecf_3R303 + ecf_3R304 + ecf_3R306 + ecf_3R307 + ecf_3R310 + ecf_3R311 + ecf_3R314 + ecf_3R315 + ecf_3R318 + ecf_3R319 + ecf_3R320 + ecf_3R322 + ecf_3R323 + ecf_3R325 + ecf_3R326 + months_1to9 + months_10to16","2026-04-01 15:53:26 UTC","2026-04-01 15:53:26 UTC",1921,0.580071,0.336482,0.326307,0.491826,231.966086,457.41968,689.385766,29,1891,1920,7.998831,0.241893,33.067638,0,0.491826,2756.927121,2929.305757,0.487971,0.39495,NA,NA,NA,NA,NA
"model","d3_mod_base_inliers_23_25","data","lm","ln_price ~ ln_landratio + ln_base_bldgsize_ratio + half_duplex2story + largest + good + fair + poor + very_poor_unsound + qabove_avg + qbelow_avg + yb_pre_1929 + slab + ln_garagespaces + hot_water + central_air + ecf_3R302 + ecf_3R303 + ecf_3R304 + ecf_3R306 + ecf_3R307 + ecf_3R309 + ecf_3R310 + ecf_3R311 + ecf_3R314 + ecf_3R315 + ecf_3R318 + ecf_3R319 + ecf_3R320 + ecf_3R322 + ecf_3R323 + ecf_3R325 + ecf_3R326 + months_1to9 + months_10to16","2026-04-01 15:53:26 UTC","2026-04-01 15:53:26 UTC",1801,0.664293,0.441286,0.431173,0.422905,249.745805,316.204476,565.950281,32,1768,1800,7.804556,0.178849,43.637762,0,0.422905,2045.802011,2232.669321,0.419013,0.348899,NA,NA,NA,NA,NA
"model","d3_mod_tasp1_23_25","data","lm","ln_tasp_re ~ ln_base_bldgsize_ratio + half_duplex2story + largest + good + fair + poor + very_poor_unsound + qabove_avg + qbelow_avg + yb_pre_1929 + yb_1946_to_1960 + ln_garagespaces + hot_water + wall + central_air + ecf_3R302 + ecf_3R303 + ecf_3R304 + ecf_3R306 + ecf_3R307 + ecf_3R309 + ecf_3R310 + ecf_3R311 + ecf_3R314 + ecf_3R315 + ecf_3R318 + ecf_3R319 + ecf_3R320 + ecf_3R322 + ecf_3R323 + ecf_3R325 + ecf_3R326","2026-04-01 15:53:26 UTC","2026-04-01 15:53:26 UTC",1801,0.657984,0.432942,0.423331,0.422718,241.477695,316.281745,557.75944,30,1770,1800,8.049256,0.17869,45.045862,0,0.422718,2042.242059,2218.117174,0.419064,0.349144,NA,NA,NA,NA,NA
"model","d3_mod_tasp2_23_25","data","lm","ln_tasp_re ~ ln_landratio + lnsbldsfint + half_duplex2story + small + largest + good + fair + poor + very_poor_unsound + qabove_avg + qbelow_avg + yb_pre_1929 + garage + hot_water + wall + central_air + ecf_3R302 + ecf_3R303 + ecf_3R304 + ecf_3R306 + ecf_3R307 + ecf_3R309 + ecf_3R310 + ecf_3R311 + ecf_3R314 + ecf_3R315 + ecf_3R318 + ecf_3R319 + ecf_3R320 + ecf_3R322 + ecf_3R323 + ecf_3R325 + ecf_3R326","2026-04-01 15:53:26 UTC","2026-04-01 15:53:26 UTC",1801,0.657938,0.432882,0.422944,0.42286,241.44398,316.315459,557.75944,31,1769,1800,7.788515,0.17881,43.557416,0,0.42286,2044.434027,2225.805239,0.419086,0.348855,NA,NA,NA,NA,NA
"coefficient","d3_mod_time_23_25","data",NA,NA,"2026-04-01 15:53:26 UTC",NA,1921,0.350057,0.12254,0.114701,0.549429,80.22532,574.46342,654.68874,17,1903,1920,4.719136,0.301873,15.632878,0,0.549429,3170.598378,3276.2498,0.546849,0.437928,"(Intercept)",3.794994,0.058476,64.897819,0
"coefficient","d3_mod_time_23_25","data",NA,NA,"2026-04-01 15:53:26 UTC",NA,1921,0.350057,0.12254,0.114701,0.549429,80.22532,574.46342,654.68874,17,1903,1920,4.719136,0.301873,15.632878,0,0.549429,3170.598378,3276.2498,0.546849,0.437928,"arterial",0.100918,0.048575,2.077547,0.037885
"coefficient","d3_mod_time_23_25","data",NA,NA,"2026-04-01 15:53:26 UTC",NA,1921,0.350057,0.12254,0.114701,0.549429,80.22532,574.46342,654.68874,17,1903,1920,4.719136,0.301873,15.632878,0,0.549429,3170.598378,3276.2498,0.546849,0.437928,"single_family1story",0.095472,0.042828,2.229193,0.025917
"coefficient","d3_mod_time_23_25","data",NA,NA,"2026-04-01 15:53:26 UTC",NA,1921,0.350057,0.12254,0.114701,0.549429,80.22532,574.46342,654.68874,17,1903,1920,4.719136,0.301873,15.632878,0,0.549429,3170.598378,3276.2498,0.546849,0.437928,"half_duplex2story",-0.926201,0.552126,-1.677517,0.093606
