"record_type","model_name","data_name","model_class","formula","created_at","bundle_created_at","n","r","r_squared","adj_r_squared","see","ss_regression","ss_residual","ss_total","df_regression","df_residual","df_total","ms_regression","ms_residual","f","significance","sigma","aic","bic","rmse","mae","term","estimate","std_error","t_value","p_value"
"model","d7_mod_time_23_25","data","lm","ln_sppsf ~ single_family1story + smallest + small + large + fair + poor + qabove_avg + qbelow_avg + yb_pre_1929 + yb_1946_to_1960 + yb_post_1961 + crawl + slab + ln_garagespaces + hot_water + elec_baseboard + wall + central_air + months_1to9 + months_10to16 + months_17to24","2026-04-02 15:43:45 UTC","2026-04-02 15:43:45 UTC",2667,0.444162,0.19728,0.190906,0.480801,150.270548,611.443283,761.713831,21,2645,2666,7.15574,0.231169,30.95452,0,0.480801,3686.427645,3821.867964,0.478814,0.387398,NA,NA,NA,NA,NA
"model","d7_mod_ln_price_no_ecf_23_25","data","lm","ln_price ~ ln_landratio + ln_base_bldgsize_ratio + single_family1story + two_plus_baths + fair + poor + qabove_avg + qbelow_avg + yb_pre_1929 + yb_1946_to_1960 + yb_post_1961 + crawl + slab + ln_garagespaces + hot_water + elec_baseboard + wall + central_air + months_1to9 + months_10to16 + months_17to24","2026-04-02 15:43:45 UTC","2026-04-02 15:43:45 UTC",2667,0.500157,0.250157,0.244203,0.475576,199.575111,598.225588,797.800699,21,2645,2666,9.503577,0.226172,42.0192,0,0.475576,3628.142278,3763.582597,0.47361,0.382161,NA,NA,NA,NA,NA
"model","d7_mod_base_23_25","data","lm","ln_price ~ ln_landratio + ln_base_bldgsize_ratio + single_family1story + fair + poor + qbelow_avg + yb_pre_1929 + yb_post_1961 + crawl + ln_garagespaces + fireplace + elec_baseboard + wall + central_air + ecf_7R703 + ecf_7R704 + ecf_7R705 + ecf_7R706 + ecf_7R707 + ecf_7R708 + ecf_7R709 + ecf_7R710 + ecf_7R711 + ecf_7R712 + ecf_7R713 + ecf_7R714 + ecf_7R715 + ecf_7R716 + ecf_7R717 + ecf_7R718 + ecf_7R719 + ecf_7R720 + ecf_7R722 + ecf_7R724 + months_1to9 + months_10to16 + months_17to24","2026-04-02 15:43:45 UTC","2026-04-02 15:43:45 UTC",2667,0.591078,0.349373,0.340216,0.444343,278.730185,519.070514,797.800699,37,2629,2666,7.533248,0.19744,38.154565,0,0.444343,3281.61982,3511.279492,0.441166,0.357323,NA,NA,NA,NA,NA
"model","d7_mod_base_inliers_23_25","data","lm","ln_price ~ ln_landratio + ln_base_bldgsize_ratio + single_family1story + smallest + two_plus_baths + fair + poor + qbelow_avg + yb_pre_1929 + yb_post_1961 + crawl + ln_garagespaces + fireplace + wall + central_air + ecf_7R702 + ecf_7R703 + ecf_7R704 + ecf_7R705 + ecf_7R706 + ecf_7R707 + ecf_7R708 + ecf_7R709 + ecf_7R710 + ecf_7R711 + ecf_7R712 + ecf_7R713 + ecf_7R714 + ecf_7R715 + ecf_7R716 + ecf_7R717 + ecf_7R718 + ecf_7R719 + ecf_7R720 + ecf_7R721 + ecf_7R722 + ecf_7R723 + ecf_7R724 + months_1to9 + months_10to16 + months_17to24","2026-04-02 15:43:45 UTC","2026-04-02 15:43:45 UTC",2489,0.642466,0.412763,0.403167,0.386826,257.471323,366.304564,623.775886,40,2448,2488,6.436783,0.149634,43.016786,0,0.386826,2378.125967,2622.550691,0.383627,0.318901,NA,NA,NA,NA,NA
"model","d7_mod_tasp1_23_25","data","lm","ln_tasp_re ~ ln_landratio + ln_base_bldgsize_ratio + single_family1story + smallest + two_plus_baths + fair + poor + qbelow_avg + yb_pre_1929 + yb_post_1961 + crawl + ln_garagespaces + fireplace + wall + central_air + ecf_7R702 + ecf_7R703 + ecf_7R704 + ecf_7R705 + ecf_7R706 + ecf_7R707 + ecf_7R708 + ecf_7R709 + ecf_7R710 + ecf_7R711 + ecf_7R712 + ecf_7R713 + ecf_7R714 + ecf_7R715 + ecf_7R716 + ecf_7R717 + ecf_7R718 + ecf_7R719 + ecf_7R720 + ecf_7R721 + ecf_7R722 + ecf_7R723 + ecf_7R724 + months_1to9 + months_10to16 + months_17to24","2026-04-02 15:43:45 UTC","2026-04-02 15:43:45 UTC",2489,0.631494,0.398785,0.388961,0.386826,242.969231,366.304564,609.273795,40,2448,2488,6.074231,0.149634,40.593862,0,0.386826,2378.125967,2622.550691,0.383627,0.318901,NA,NA,NA,NA,NA
"model","d7_mod_tasp2_23_25","data","lm","ln_tasp_re ~ ln_landratio + lnsbldsfint + single_family1story + half_duplex2story + two_plus_baths + fair + poor + qbelow_avg + yb_pre_1929 + yb_post_1961 + crawl + garage + fireplace + wall + central_air + ecf_7R702 + ecf_7R703 + ecf_7R704 + ecf_7R705 + ecf_7R706 + ecf_7R707 + ecf_7R708 + ecf_7R709 + ecf_7R710 + ecf_7R711 + ecf_7R712 + ecf_7R713 + ecf_7R714 + ecf_7R715 + ecf_7R716 + ecf_7R717 + ecf_7R718 + ecf_7R719 + ecf_7R720 + ecf_7R721 + ecf_7R722 + ecf_7R723 + ecf_7R724 + months_1to9 + months_10to16 + months_17to24","2026-04-02 15:43:45 UTC","2026-04-02 15:43:45 UTC",2489,0.631041,0.398213,0.388379,0.38701,242.62051,366.653285,609.273795,40,2448,2488,6.065513,0.149777,40.497047,0,0.38701,2380.494365,2624.91909,0.383809,0.318617,NA,NA,NA,NA,NA
"coefficient","d7_mod_time_23_25","data",NA,NA,"2026-04-02 15:43:45 UTC",NA,2667,0.444162,0.19728,0.190906,0.480801,150.270548,611.443283,761.713831,21,2645,2666,7.15574,0.231169,30.95452,0,0.480801,3686.427645,3821.867964,0.478814,0.387398,"(Intercept)",3.794144,0.04134,91.77969,0
"coefficient","d7_mod_time_23_25","data",NA,NA,"2026-04-02 15:43:45 UTC",NA,2667,0.444162,0.19728,0.190906,0.480801,150.270548,611.443283,761.713831,21,2645,2666,7.15574,0.231169,30.95452,0,0.480801,3686.427645,3821.867964,0.478814,0.387398,"single_family1story",0.06666,0.031775,2.097847,0.036013
"coefficient","d7_mod_time_23_25","data",NA,NA,"2026-04-02 15:43:45 UTC",NA,2667,0.444162,0.19728,0.190906,0.480801,150.270548,611.443283,761.713831,21,2645,2666,7.15574,0.231169,30.95452,0,0.480801,3686.427645,3821.867964,0.478814,0.387398,"smallest",0.178971,0.032835,5.450638,0
"coefficient","d7_mod_time_23_25","data",NA,NA,"2026-04-02 15:43:45 UTC",NA,2667,0.444162,0.19728,0.190906,0.480801,150.270548,611.443283,761.713831,21,2645,2666,7.15574,0.231169,30.95452,0,0.480801,3686.427645,3821.867964,0.478814,0.387398,"small",0.099834,0.023904,4.176429,3.1e-05
